YearWeek,SupplierClean,Revenue,Units,AvgUnitPrice,Orders
2011-03,UNKNOWN,29381.79,12510,6.176317854807063,192
2011-04,Acme Supplies Ltd,38757.42,23829,3.626123251748252,269
2011-04,EuroParts GmbH,17864.29,15380,3.5360157480314958,243
2011-04,GlobalTrade Co,25672.06,12346,3.6839774983454663,267
2011-04,Pacific Importers,22731.53,11926,3.7636000000000003,251
2011-04,UNKNOWN,26586.4,10485,5.6219795758051845,252
2011-05,Acme Supplies Ltd,38335.58,22621,3.697262302914477,268
2011-05,EuroParts GmbH,19382.09,11219,3.6732825719120132,243
2011-05,GlobalTrade Co,29766.920000000002,19602,3.684769230769231,265
2011-05,Pacific Importers,22018.35,10273,3.726692426584235,255
2011-05,UNKNOWN,24645.61,11226,6.014657980456026,229
2011-06,Acme Supplies Ltd,31854.41,16547,3.9082332361516032,196
2011-06,EuroParts GmbH,13905.7,7963,3.589367631296892,173
2011-06,GlobalTrade Co,27894.170000000002,11830,3.945719424460432,200
2011-06,Pacific Importers,18015.0,8979,3.6760366972477065,181
2011-06,UNKNOWN,22151.01,8490,6.706824742268041,179
2011-07,Acme Supplies Ltd,43640.96,24436,3.3275444340505147,265
2011-07,EuroParts GmbH,22372.74,16006,3.364092827004219,232
2011-07,GlobalTrade Co,29857.97,16688,3.369527777777778,245
2011-07,Pacific Importers,24112.91,12807,3.3189353891336273,241
2011-07,UNKNOWN,31212.12,14282,5.451072925398156,230
2011-08,Acme Supplies Ltd,46201.75,28765,3.607193136823581,262
2011-08,EuroParts GmbH,22209.06,12534,3.6391111111111107,235
2011-08,GlobalTrade Co,29619.21,15863,3.821007604562738,250
2011-08,Pacific Importers,28182.87,15699,3.463227931488801,255
2011-08,UNKNOWN,29780.01,14246,4.916510903426792,241
2011-09,Acme Supplies Ltd,39237.9,21466,3.411923774954628,261
2011-09,EuroParts GmbH,20625.31,10257,4.878205953338696,237
2011-09,GlobalTrade Co,29701.24,13830,4.975385144429161,248
2011-09,Pacific Importers,25063.22,13960,3.4643929824561406,246
2011-09,UNKNOWN,26665.72,12450,5.0765572457966375,237
2011-10,Acme Supplies Ltd,36886.92,20417,3.4581100141043724,256
2011-10,EuroParts GmbH,24269.04,12202,5.832135176651306,241
2011-10,GlobalTrade Co,32792.76,19080,6.031686197916667,256
2011-10,Pacific Importers,23494.72,12360,3.4445994277539342,243
2011-10,UNKNOWN,27817.11,12783,5.382864992150706,242
2011-11,Acme Supplies Ltd,46906.54,30044,3.3924922941435494,298
2011-11,EuroParts GmbH,27148.47,13138,5.458773259820814,274
2011-11,GlobalTrade Co,35129.6,17244,5.491021406727828,284
2011-11,Pacific Importers,28006.94,15366,3.482843808338519,277
2011-11,UNKNOWN,36401.63,15632,6.087792642140468,290
2011-12,Acme Supplies Ltd,38684.58,22026,3.1554684095860566,300
2011-12,EuroParts GmbH,22729.95,13343,3.3033086751849363,284
2011-12,GlobalTrade Co,32634.54,15897,3.5426765375854212,279
2011-12,Pacific Importers,26729.13,15888,3.260944099378882,277
2011-12,UNKNOWN,35824.53,14570,5.099128498727735,283
2011-13,Acme Supplies Ltd,52270.13,31064,3.566600790513834,315
2011-13,EuroParts GmbH,28208.86,14712,3.790131406044678,293
2011-13,GlobalTrade Co,40070.2,24251,3.6136618141097423,306
2011-13,Pacific Importers,35717.1,18324,3.369447415329768,306
2011-13,UNKNOWN,45466.35,24252,5.875296636085627,299
2011-14,Acme Supplies Ltd,34843.21,19248,3.078725850965961,287
2011-14,EuroParts GmbH,27398.58,11861,9.704830132939438,262
2011-14,GlobalTrade Co,35877.51,15312,9.246506329113924,285
2011-14,Pacific Importers,19869.79,11544,3.120297498309669,260
2011-14,UNKNOWN,31720.57,13907,4.712523616734143,286
2011-15,Acme Supplies Ltd,39582.541,23467,3.2612303562713523,331
2011-15,EuroParts GmbH,26196.31,16990,3.322841530054645,302
2011-15,GlobalTrade Co,32492.14,18945,3.7623391812865496,315
2011-15,Pacific Importers,23438.96,14653,3.2392302106027597,302
2011-15,UNKNOWN,35838.47,17311,4.838565459610028,316
2011-16,Acme Supplies Ltd,39624.22,26362,3.279696169088507,250
2011-16,EuroParts GmbH,30052.38,16515,3.382431259044862,231
2011-16,GlobalTrade Co,29547.94,16905,3.864978301301922,228
2011-16,Pacific Importers,21106.74,12876,3.3749395161290323,223
2011-16,UNKNOWN,32498.17,15069,5.4053293413173655,232
2011-17,Acme Supplies Ltd,24708.15,16879,3.2138575458392102,188
2011-17,EuroParts GmbH,12516.16,7839,3.6822208436724564,159
2011-17,GlobalTrade Co,17317.04,12625,4.027885462555067,171
2011-17,Pacific Importers,15191.52,8651,3.581882845188284,167
2011-17,UNKNOWN,21854.15,8655,5.757139588100686,175
2011-18,Acme Supplies Ltd,40594.79,24317,3.0823450946643716,321
2011-18,EuroParts GmbH,28146.37,14992,9.357309761721753,277
2011-18,GlobalTrade Co,30263.49,15050,3.416120182887002,285
2011-18,Pacific Importers,26918.81,14532,3.1616602067183464,303
2011-18,UNKNOWN,30048.34,13544,4.063040268456376,296
2011-19,Acme Supplies Ltd,62901.18,34866,3.527986949429038,386
2011-19,EuroParts GmbH,27976.14,16942,4.150359394703657,341
2011-19,GlobalTrade Co,46741.52,22066,4.349710806697108,373
2011-19,Pacific Importers,41234.66,21728,3.4783412098298676,372
2011-19,UNKNOWN,44110.87,18599,6.213825352112676,347
2011-20,Acme Supplies Ltd,66457.81,34608,3.409278529309747,416
2011-20,EuroParts GmbH,32263.99,16737,4.182245448415374,351
2011-20,GlobalTrade Co,41628.43,21317,4.15029348986126,373
2011-20,Pacific Importers,44439.08,23075,3.3019234800838575,381
2011-20,UNKNOWN,41454.38,16456,5.53931506849315,357
2011-21,Acme Supplies Ltd,49153.270000000004,25851,3.498167313497197,310
2011-21,EuroParts GmbH,25931.15,16299,6.193435897435897,275
2011-21,GlobalTrade Co,36830.55,15735,5.585226648351648,289
2011-21,Pacific Importers,34457.69,18489,3.7171269951422623,286
2011-21,UNKNOWN,31674.35,14490,5.7693981863149215,271
2011-22,Acme Supplies Ltd,32456.670000000002,16896,3.4265620328849025,220
2011-22,EuroParts GmbH,15861.64,8419,3.4878290766208253,199
2011-22,GlobalTrade Co,26910.63,13288,3.6482159264931084,222
2011-22,Pacific Importers,24303.56,12588,3.5444566813509546,223
2011-22,UNKNOWN,25104.05,9987,5.458509933774835,209
2011-23,Acme Supplies Ltd,97272.22,37981,3.7492652204338697,377
2011-23,EuroParts GmbH,28598.35,18281,3.2801529636711284,343
2011-23,GlobalTrade Co,37934.840000000004,21285,3.7545269526952696,353
2011-23,Pacific Importers,29695.83,17143,3.3049409871244633,342
2011-23,UNKNOWN,36272.05,15453,6.07617482951023,324
2011-24,Acme Supplies Ltd,56700.75,30802,3.4255326732673264,332
2011-24,EuroParts GmbH,26189.47,16141,3.015610294117647,296
2011-24,GlobalTrade Co,41743.8,22294,3.351495157384988,311
2011-24,Pacific Importers,36398.69,20651,3.122774806892454,306
2011-24,UNKNOWN,36175.67,16776,4.980021739130435,280
2011-25,Acme Supplies Ltd,38995.74,24168,3.1869344524380496,292
2011-25,EuroParts GmbH,24111.23,13130,6.533099547511312,269
2011-25,GlobalTrade Co,31495.79,14495,5.776794228356335,283
2011-25,Pacific Importers,24169.39,14379,3.4029738154613467,274
2011-25,UNKNOWN,27279.18,11735,5.563530701754386,272
2011-26,Acme Supplies Ltd,46340.43,23451,3.2081976166832176,248
2011-26,EuroParts GmbH,20139.05,14261,3.7843231046931405,211
2011-26,GlobalTrade Co,29091.57,15662,4.144985590778098,247
2011-26,Pacific Importers,22829.74,13294,3.116595256312165,233
2011-26,UNKNOWN,26696.52,12767,5.450452127659574,222
2011-27,Acme Supplies Ltd,60873.39,31752,3.260360554699538,335
2011-27,EuroParts GmbH,22497.89,14833,2.8778458049886617,283
2011-27,GlobalTrade Co,37454.68,18318,3.589840887174542,318
2011-27,Pacific Importers,32890.16,17561,3.077889156626506,298
2011-27,UNKNOWN,39843.72,16780,6.527266666666667,291
2011-28,Acme Supplies Ltd,42950.04,27986,3.0555509276789095,298
2011-28,EuroParts GmbH,21625.72,14225,3.2022177954847275,270
2011-28,GlobalTrade Co,29048.32,16094,3.1643453070683663,280
2011-28,Pacific Importers,24416.44,16744,2.8617142857142857,277
2011-28,UNKNOWN,28460.49,13223,4.687664281067013,261
2011-29,Acme Supplies Ltd,57246.21,31252,3.057857142857143,324
2011-29,EuroParts GmbH,36616.22,22349,8.927159367396595,300
2011-29,GlobalTrade Co,51719.590000000004,22100,8.512032770097287,321
2011-29,Pacific Importers,38260.2,22514,2.8917138364779875,294
2011-29,UNKNOWN,40424.07,16188,5.13464375,287
2011-30,Acme Supplies Ltd,57865.071,33243,3.088300737291424,324
2011-30,EuroParts GmbH,24926.0,17462,2.6573971631205673,277
2011-30,GlobalTrade Co,38610.36,19565,3.214205495818399,300
2011-30,Pacific Importers,36790.0,21497,2.939041013268999,293
2011-30,UNKNOWN,31239.43,18747,4.9119036869826935,281
2011-31,Acme Supplies Ltd,47426.79,30123,3.072648054145516,279
2011-31,EuroParts GmbH,24239.1,15714,3.090227272727273,247
2011-31,GlobalTrade Co,41703.75,22664,3.4177985074626864,260
2011-31,Pacific Importers,34502.28,22353,3.1929729729729734,256
2011-31,UNKNOWN,29925.35,15480,4.228012668250198,251
2011-32,Acme Supplies Ltd,51537.71,27881,3.447267713194739,249
2011-32,EuroParts GmbH,26916.62,16234,5.316311336717428,229
2011-32,GlobalTrade Co,38314.79,18672,5.389521938441388,231
2011-32,Pacific Importers,44469.69,20860,10.988007042253521,237
2011-32,UNKNOWN,37181.57,18387,7.970291858678955,227
2011-33,Acme Supplies Ltd,53649.5,29824,3.0096263008514668,282
2011-33,EuroParts GmbH,23922.96,15821,2.749785407725322,265
2011-33,GlobalTrade Co,38553.47,20755,3.1490663900414937,275
2011-33,Pacific Importers,34454.89,20044,2.832896652110626,267
2011-33,UNKNOWN,31650.06,16341,4.33558282208589,260
2011-34,Acme Supplies Ltd,50087.38,29714,2.8737920875420877,327
2011-34,EuroParts GmbH,25190.760000000002,17929,3.04973743435859,287
2011-34,GlobalTrade Co,39346.96,22610,3.220628778718259,317
2011-34,Pacific Importers,27364.95,16886,2.6424035989717223,286
2011-34,UNKNOWN,33450.03,15752,4.257218493661447,282
2011-35,Acme Supplies Ltd,41958.93,23551,3.469605710401088,249
2011-35,EuroParts GmbH,23080.77,13546,3.7924919717405268,238
2011-35,GlobalTrade Co,32664.45,15741,4.082754459601259,250
2011-35,Pacific Importers,31139.44,16794,3.4397995780590715,242
2011-35,UNKNOWN,33548.93,14238,6.683632887189293,230
2011-36,Acme Supplies Ltd,57139.19,31434,3.2670264101728073,355
2011-36,EuroParts GmbH,30786.61,22235,2.7784844938560562,328
2011-36,GlobalTrade Co,40962.15,21938,3.109222387320456,332
2011-36,Pacific Importers,36688.13,21873,3.1235302879841114,330
2011-36,UNKNOWN,33803.77,16075,5.148840048840048,304
2011-37,Acme Supplies Ltd,73427.05,37727,3.1857756189282354,342
2011-37,EuroParts GmbH,33477.24,20354,3.961091127098321,310
2011-37,GlobalTrade Co,51133.86,25723,4.402494117647058,332
2011-37,Pacific Importers,40372.41,22747,3.005031878371751,307
2011-37,UNKNOWN,42554.53,19939,5.329549604382228,307
2011-38,Acme Supplies Ltd,109232.731,56241,3.236279593318809,437
2011-38,EuroParts GmbH,55994.29,26731,4.2897567567567565,404
2011-38,GlobalTrade Co,69631.09,32618,4.295683534743202,414
2011-38,Pacific Importers,58898.39,33023,3.1632845111680705,407
2011-38,UNKNOWN,58182.17,25482,5.502180028129395,385
2011-39,Acme Supplies Ltd,61135.28,37870,2.9436904761904765,399
2011-39,EuroParts GmbH,32003.77,21383,2.658928039702233,373
2011-39,GlobalTrade Co,41871.47,22233,3.1369763440860217,388
2011-39,Pacific Importers,40064.891,24855,2.826661499790532,372
2011-39,UNKNOWN,44317.11,18259,5.045669371196754,365
2011-40,Acme Supplies Ltd,90711.77,50490,3.0586027136396097,438
2011-40,EuroParts GmbH,50712.2,28979,4.242990392313851,416
2011-40,GlobalTrade Co,66977.48,32017,4.547155329210622,429
2011-40,Pacific Importers,65533.78,39993,2.90694101024373,414
2011-40,UNKNOWN,60099.85,26553,4.550444033302497,400
2011-41,Acme Supplies Ltd,67217.88,34406,3.125434782608696,401
2011-41,EuroParts GmbH,33970.61,19906,3.2149447147279964,372
2011-41,GlobalTrade Co,48454.83,22312,3.7658299919807536,381
2011-41,Pacific Importers,45764.05,26865,3.0208011760382214,389
2011-41,UNKNOWN,42436.16,19473,5.464674441205053,355
2011-42,Acme Supplies Ltd,76437.27,45203,3.0024416605256694,410
2011-42,EuroParts GmbH,50255.16,27809,5.635487428319364,380
2011-42,GlobalTrade Co,65815.51,29469,5.745250649832901,396
2011-42,Pacific Importers,48865.63,31809,2.8504825642831984,377
2011-42,UNKNOWN,50151.12,22493,4.794509334609861,358
2011-43,Acme Supplies Ltd,72522.47,45359,3.070048746518106,468
2011-43,EuroParts GmbH,45870.18,21578,6.3762771958098305,436
2011-43,GlobalTrade Co,74017.03,38411,6.358736360436467,479
2011-43,Pacific Importers,45328.89,30425,2.8443577981651376,438
2011-43,UNKNOWN,42393.32,22321,4.823878177037686,416
2011-44,Acme Supplies Ltd,86369.51,45874,3.2433300336567017,494
2011-44,EuroParts GmbH,45178.15,29285,2.848669467787115,447
2011-44,GlobalTrade Co,65242.3,33095,3.269440709046455,468
2011-44,Pacific Importers,62683.73,34918,3.0220000000000002,461
2011-44,UNKNOWN,55998.42,23667,5.896868604175194,418
2011-45,Acme Supplies Ltd,106500.9,54601,3.0952998965873837,578
2011-45,EuroParts GmbH,51019.090000000004,31259,3.192987654320988,542
2011-45,GlobalTrade Co,84905.43000000001,37415,3.607182761372705,570
2011-45,Pacific Importers,77026.81,42533,2.9783888458559256,541
2011-45,UNKNOWN,61838.74,24926,6.111945592286501,488
2011-46,Acme Supplies Ltd,116820.57,56916,3.022725688945201,629
2011-46,EuroParts GmbH,52266.3,28956,3.2089084310441094,568
2011-46,GlobalTrade Co,90014.25,39887,3.536966456003889,595
2011-46,Pacific Importers,79224.73,40125,2.9847538677918424,575
2011-46,UNKNOWN,63933.63,26556,6.270556261919897,540
2011-47,Acme Supplies Ltd,90628.65,59360,3.125707671957672,570
2011-47,EuroParts GmbH,44917.12,28579,2.8526436439416494,494
2011-47,GlobalTrade Co,69449.31,32261,3.3135662148070906,545
2011-47,Pacific Importers,60385.56,32649,3.1026002522068095,524
2011-47,UNKNOWN,64408.36,24431,6.629123207301173,489
2011-48,Acme Supplies Ltd,98420.18000000001,48204,3.252652317306023,587
2011-48,EuroParts GmbH,46095.16,25371,3.006955324357405,527
2011-48,GlobalTrade Co,70833.72,32109,3.4116750139120757,567
2011-48,Pacific Importers,59611.74,34627,3.1121508452535758,556
2011-48,UNKNOWN,60111.020000000004,21469,7.8294658430232555,503
2011-49,Acme Supplies Ltd,95567.84,49198,3.3293987865416432,459
2011-49,EuroParts GmbH,40520.22,25278,3.0963355481727572,414
2011-49,GlobalTrade Co,71223.59,33999,3.5721052631578947,434
2011-49,Pacific Importers,67306.0,38366,3.232098022355976,436
2011-49,UNKNOWN,238014.6,103789,10.147879464285714,402
