StockCode,Description,UnitPrice_median,TotalQty,Supplier,CostPrice,LeadTimeDays,Category,SupplierClean,CategoryClean
17003,BROCADE RING PURSE,0.29,23053,Acme Supplies Ltd,0.1521945118625998,18.0,LIGHTING,Acme Supplies Ltd,Lighting
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2.1,20,GlobalTrade Co,1.027043778739421,39.0,Unknown,GlobalTrade Co,Other
17011A,UNKNOWN,0.0,-61,GlobalTrade Co,0.0,31.0,Home Decor,GlobalTrade Co,Home Decor
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,0.65,63,EuroParts GmbH,0.3829181150382412,14.0,Unknown,EuroParts GmbH,Other
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,2.46,237,PACIFIC IMPORTERS LLC,1.7168407832017705,19.0,Lighting,Pacific Importers,Lighting
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,2.46,453,,1.8085208474406984,23.0,Unknown,UNKNOWN,Other
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,2.46,399,Global Trade Co.,1.471106402478042,28.0,home decor,GlobalTrade Co,Home Decor
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,2.46,463,Acme Supplies Ltd,1.426951203184049,21.0,home decor,Acme Supplies Ltd,Home Decor
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,2.51,68,EuroParts GmbH,1.078722034652298,14.0,Kitchen,EuroParts GmbH,Kitchen
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,2.46,462,EuroParts GmbH,1.4565794821281786,23.0,Stationery,EuroParts GmbH,Stationery
17013D,ORIGAMI ROSE INCENSE IN TUBE,0.42,506,Pacific Importers,0.223856924607913,44.0,LIGHTING,Pacific Importers,Lighting
17014A,ORIGAMI VANILLA INCENSE CONES,0.42,166,Euro Parts,0.2572488862898858,36.0,home decor,EuroParts GmbH,Home Decor
17021,NAMASTE SWAGAT INCENSE,0.3,2427,Pacific Importers,0.1608162665270374,9.0,Kitchen,Pacific Importers,Kitchen
17028J,INCENSE BAZAAR PEACH,0.42,6,Pacific Importers,0.2033239711472039,37.0,Gifts,Pacific Importers,Gifts
17038,PORCELAIN BUDAH INCENSE HOLDER,0.1,1525,Global Trade Co.,0.0433237846329931,17.0,Kitchen,GlobalTrade Co,Kitchen
17084A,TRANQUILITY MASALA INCENSE,0.21,200,Acme Supplies Ltd,0.1071465056772838,3.0,Home Decor,Acme Supplies Ltd,Home Decor
17084J,LOVE POTION MASALA INCENSE,0.21,225,Acme Supplies Ltd,0.0911033953201497,28.0,LIGHTING,Acme Supplies Ltd,Lighting
17084N,FAIRY DREAMS INCENSE,0.42,1264,Acme Supplies Ltd,0.1940038517711256,37.0,Stationery,Acme Supplies Ltd,Stationery
17084P,DRAGONS BLOOD INCENSE,0.42,423,PACIFIC IMPORTERS LLC,0.3131384153111932,27.0,home decor,Pacific Importers,Home Decor
17084R,ASSORTED INCENSE PACK,0.21,4032,GlobalTrade Co,0.6331345714216281,44.0,Home Decor,GlobalTrade Co,Home Decor
17090A,LAVENDER INCENSE 40 CONES IN TIN,1.25,109,Pacific Importers,0.7326938978459447,17.0,Lighting,Pacific Importers,Lighting
17090D,VANILLA INCENSE 40 CONES IN TIN,1.25,19,,0.8822081063225318,24.0,Lighting,UNKNOWN,Lighting
17091A,LAVENDER INCENSE IN TIN,0.38,340,acme-supplies,0.2844106637652615,8.0,Kitchen,Acme Supplies Ltd,Kitchen
17091J,VANILLA INCENSE IN TIN,0.38,2084,Global Trade Co.,0.2295010217628426,17.0,Stationery,GlobalTrade Co,Stationery
17096,ASSORTED LAQUERED INCENSE HOLDERS,0.21,2497,EuroParts GmbH,0.1437168258467466,26.0,Unknown,EuroParts GmbH,Other
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",2.55,171,ACME SUPPLIES,1.3117948642204826,23.0,Stationery,Acme Supplies Ltd,Stationery
17109D,FLOWER FAIRY INCENSE BOUQUET,0.38,75,Acme Supplies Ltd,0.1926639463404897,9.0,Stationery,Acme Supplies Ltd,Stationery
17129F,BLUE GLASS GEMS IN BAG,1.63,586,GlobalTrade Co,0.8817424728273965,31.0,Stationery,GlobalTrade Co,Stationery
17136A,BLUE STONES ON WIRE FOR CANDLE,0.08,407,ACME SUPPLIES,0.0508302033548621,34.0,Kitchen,Acme Supplies Ltd,Kitchen
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,0.42,29,,0.2682821783204995,34.0,Home Decor,UNKNOWN,Home Decor
17165D,ASS COL LARGE SAND FROG P'WEIGHT,1.05,26,Euro Parts,0.5358504922336732,7.0,Kitchen,EuroParts GmbH,Kitchen
17174,ASSTD RASTA KEY-CHAINS,0.42,9,PACIFIC IMPORTERS LLC,0.1875818588480844,6.0,Unknown,Pacific Importers,Other
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,3.75,4,,2.3300200866109804,24.0,Home Decor,UNKNOWN,Home Decor
18007,ESSENTIAL BALM 3.5G TIN IN ENVELOPE,0.18,3050,Euro Parts,0.0800845293178921,20.0,Unknown,EuroParts GmbH,Other
18094C,WHITE AND BLUE CERAMIC OIL BURNER,2.46,125,ACME SUPPLIES,1.4820820495854532,37.0,Gifts,Acme Supplies Ltd,Gifts
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,2.55,-18,,1.6388792492902555,19.0,Gifts,UNKNOWN,Gifts
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,2.55,407,Pacific Importers,1.6452957605320482,26.0,LIGHTING,Pacific Importers,Lighting
18098C,PORCELAIN BUTTERFLY OIL BURNER,2.95,91,Euro Parts,1.957959954256034,4.0,home decor,EuroParts GmbH,Home Decor
18098C,PORCELAIN BUTTERFLY OIL BURNER,5.06,52,,3.569834035592792,15.0,home decor,UNKNOWN,Home Decor
20615,BLUE POLKADOT PASSPORT COVER,2.1,313,GlobalTrade Co,1.2074698590941195,17.0,Home Decor,GlobalTrade Co,Home Decor
20616,CHERRY BLOSSOM PASSPORT COVER,1.63,194,Acme Supplies Ltd,1.0686071626266205,7.0,Kitchen,Acme Supplies Ltd,Kitchen
20617,FIRST CLASS PASSPORT COVER,2.1,93,ACME SUPPLIES,1.29509196049389,5.0,Unknown,Acme Supplies Ltd,Other
20618,QUEEN OF THE SKIES PASSPORT COVER,1.66,148,Global Trade Co.,0.7724378050224535,39.0,Unknown,GlobalTrade Co,Other
20619,TROPICAL PASSPORT COVER,1.63,262,Euro Parts,0.6666559423979974,39.0,home decor,EuroParts GmbH,Home Decor
20622,VIPPASSPORT COVER,2.1,186,,1.0491379184725464,39.0,home decor,UNKNOWN,Home Decor
20652,BLUE POLKADOT LUGGAGE TAG,1.25,235,Acme Supplies Ltd,0.6938272465227086,5.0,Lighting,Acme Supplies Ltd,Lighting
20653,CHERRY BLOSSOM LUGGAGE TAG,0.85,73,Pacific Importers,0.5235890184675253,37.0,Unknown,Pacific Importers,Other
20654,FIRST CLASS LUGGAGE TAG,1.25,152,Global Trade Co.,0.8718572070951524,25.0,Kitchen,GlobalTrade Co,Kitchen
20655,QUEEN OF SKIES LUGGAGE TAG,1.25,197,ACME SUPPLIES,0.5858575010589475,30.0,Lighting,Acme Supplies Ltd,Lighting
20657,TROPICAL LUGGAGE TAG,1.25,73,Acme Supplies Ltd,0.5549280330805838,32.0,Kitchen,Acme Supplies Ltd,Kitchen
20658,RED RETROSPOT LUGGAGE TAG,1.25,344,GlobalTrade Co,0.9215224770200184,20.0,Stationery,GlobalTrade Co,Stationery
20659,ECONOMY LUGGAGE TAG,1.25,159,,0.5472694947271781,38.0,Unknown,UNKNOWN,Other
20661,BLUE POLKADOT PURSE,2.46,44,GlobalTrade Co,1.39598081136229,35.0,Stationery,GlobalTrade Co,Stationery
20662,FIRST CLASS HOLIDAY PURSE,2.485,31,Pacific Importers,1.5032940531179744,28.0,Gifts,Pacific Importers,Gifts
20663,QUEEN OF THE SKIES HOLIDAY PURSE,2.485,25,EuroParts GmbH,1.4648604025842444,42.0,Gifts,EuroParts GmbH,Gifts
20664,TROPICAL HOLIDAY PURSE,2.46,41,GlobalTrade Co,1.0580736872053642,19.0,Home Decor,GlobalTrade Co,Home Decor
20665,RED RETROSPOT PURSE,2.95,418,Unknown Vendor,1.2388802887087371,42.0,Unknown,UNKNOWN,Other
20666,ECONOMY HOLIDAY PURSE,0.83,25,Unknown Vendor,0.3626429356774308,9.0,home decor,UNKNOWN,Home Decor
20667,CHERRY BLOSSOM PURSE,2.46,20,acme-supplies,1.4881909958143196,10.0,Lighting,Acme Supplies Ltd,Lighting
20668,DISCO BALL CHRISTMAS DECORATION,0.12,12979,Pacific Importers,0.0708624852806414,33.0,Stationery,Pacific Importers,Stationery
20669,RED HEART LUGGAGE TAG,1.25,279,GlobalTrade Co,0.6022615965160756,14.0,Kitchen,GlobalTrade Co,Kitchen
20670,VIP HOLIDAY PURSE,2.95,14,GlobalTrade Co,1.8385018014555736,33.0,Unknown,GlobalTrade Co,Other
20671,BLUE TEATIME PRINT BOWL,1.25,-12,Acme Supplies Ltd,0.8587795321493465,21.0,Home Decor,Acme Supplies Ltd,Home Decor
20674,GREEN POLKADOT BOWL,1.25,1570,PACIFIC IMPORTERS LLC,0.5181907949328848,12.0,Kitchen,Pacific Importers,Kitchen
20675,BLUE POLKADOT BOWL,1.25,3109,Pacific Importers,0.7179318503022686,41.0,Stationery,Pacific Importers,Stationery
20676,RED RETROSPOT BOWL,1.25,5054,Acme Supplies Ltd,0.801573305294927,23.0,Unknown,Acme Supplies Ltd,Other
20677,PINK POLKADOT BOWL,1.25,3671,acme-supplies,0.6103864680929881,22.0,home decor,Acme Supplies Ltd,Home Decor
20678,LARGE BLACK DIAMANTE HAIRSLIDE,1.65,4,,0.8377376978067936,39.0,Stationery,UNKNOWN,Stationery
20679,EDWARDIAN PARASOL RED,5.95,1701,acme-supplies,3.657900932975392,43.0,Unknown,Acme Supplies Ltd,Other
20681,PINK POLKADOT CHILDRENS UMBRELLA,3.25,-17,Acme Supplies Ltd,2.321401396292251,9.0,Unknown,Acme Supplies Ltd,Other
20682,RED RETROSPOT CHILDRENS UMBRELLA,3.25,1225,Pacific Importers,2.221289028094548,16.0,Stationery,Pacific Importers,Stationery
20684,STRAWBERRY DREAM CHILDS UMBRELLA,3.25,36,Unknown Vendor,1.9633106242257763,13.0,Stationery,UNKNOWN,Stationery
20685,DOORMAT RED RETROSPOT,7.95,4027,acme-supplies,5.2118419296595455,9.0,Kitchen,Acme Supplies Ltd,Kitchen
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,3.25,175,EuroParts GmbH,1.714985559861371,31.0,Home Decor,EuroParts GmbH,Home Decor
20689,UNKNOWN,0.0,-5,EuroParts GmbH,0.0,12.0,Stationery,EuroParts GmbH,Stationery
20694,FLORAL PINK MONSTER,3.75,-67,acme-supplies,2.1118633383549184,31.0,Gifts,Acme Supplies Ltd,Gifts
20695,FLORAL BLUE MONSTER,4.25,5,EuroParts GmbH,1.9825300029806217,11.0,LIGHTING,EuroParts GmbH,Lighting
20696,FLORAL SOFT CAR TOY,3.75,54,GlobalTrade Co,2.4210314844639,38.0,Home Decor,GlobalTrade Co,Home Decor
20697,LITTLE GREEN MONSTER SOFT TOY,2.55,21,PACIFIC IMPORTERS LLC,1.5166446888338236,12.0,Gifts,Pacific Importers,Gifts
20698,LITTLE PINK MONSTER SOFT TOY,2.55,17,PACIFIC IMPORTERS LLC,1.3400697618935802,21.0,Kitchen,Pacific Importers,Kitchen
20699,MOUSEY LONG LEGS SOFT TOY,2.51,81,Pacific Importers,1.8046114784840768,33.0,Stationery,Pacific Importers,Stationery
20700,GREEN CAT FLORAL CUSHION COVER,4.13,-48,Acme Supplies Ltd,1.682260267318543,19.0,Home Decor,Acme Supplies Ltd,Home Decor
20701,PINK CAT FLORAL CUSHION COVER,4.13,-5,Euro Parts,2.1084500901311465,23.0,home decor,EuroParts GmbH,Home Decor
20702,PINK PADDED MOBILE,4.25,146,GlobalTrade Co,1.784611079194249,35.0,Stationery,GlobalTrade Co,Stationery
20703,BLUE PADDED SOFT MOBILE,4.25,-6,ACME SUPPLIES,2.840209382879671,36.0,Unknown,Acme Supplies Ltd,Other
20704,MR ROBOT SOFT TOY,6.95,212,Acme Supplies Ltd,4.487876382131801,26.0,Stationery,Acme Supplies Ltd,Stationery
20705,MRS ROBOT SOFT TOY,6.95,142,Pacific Importers,3.5860142720760915,11.0,home decor,Pacific Importers,Home Decor
20707,CRAZY DAISY HEART DECORATION,0.83,463,EuroParts GmbH,0.5282800730911547,9.0,Home Decor,EuroParts GmbH,Home Decor
20711,JUMBO BAG TOYS,4.13,4668,Acme Supplies Ltd,2.2243272604662456,18.0,Stationery,Acme Supplies Ltd,Stationery
20712,JUMBO BAG WOODLAND ANIMALS,2.08,9533,Pacific Importers,1.3825527601555323,21.0,Stationery,Pacific Importers,Stationery
20713,JUMBO BAG OWLS,2.08,9159,ACME SUPPLIES,1.162645706472322,41.0,Lighting,Acme Supplies Ltd,Lighting
20716,PARTY FOOD SHOPPER BAG,1.25,322,PACIFIC IMPORTERS LLC,0.6803723809263538,8.0,Lighting,Pacific Importers,Lighting
20717,STRAWBERRY SHOPPER BAG,1.25,2835,ACME SUPPLIES,0.9089443380261316,13.0,Home Decor,Acme Supplies Ltd,Home Decor
20718,RED RETROSPOT SHOPPER BAG,1.25,4741,EuroParts GmbH,0.6097596062021814,14.0,Home Decor,EuroParts GmbH,Home Decor
20719,WOODLAND CHARLOTTE BAG,0.85,13198,GlobalTrade Co,0.3758330836489782,44.0,Unknown,GlobalTrade Co,Other
20723,STRAWBERRY CHARLOTTE BAG,0.85,9723,,0.5139015761946888,15.0,Unknown,UNKNOWN,Other
20724,RED RETROSPOT CHARLOTTE BAG,0.85,17548,Acme Supplies Ltd,0.6283732391545432,14.0,LIGHTING,Acme Supplies Ltd,Lighting
20725,LUNCH BAG RED RETROSPOT,1.65,18979,GlobalTrade Co,0.8782021459274503,23.0,Stationery,GlobalTrade Co,Stationery
20726,LUNCH BAG WOODLAND,1.65,9852,Acme Supplies Ltd,0.6958262309956214,12.0,Gifts,Acme Supplies Ltd,Gifts
20727,LUNCH BAG  BLACK SKULL.,1.65,12112,,0.8559487918712751,22.0,Home Decor,UNKNOWN,Home Decor
20728,LUNCH BAG CARS BLUE,1.65,11603,,0.9521755303695448,38.0,home decor,UNKNOWN,Home Decor
20731,POSY CANDY BAG,1.25,87,acme-supplies,0.5708413154015936,30.0,Stationery,Acme Supplies Ltd,Stationery
20733,GOLD MINI TAPE MEASURE,0.83,936,PACIFIC IMPORTERS LLC,0.5231786943454109,26.0,Gifts,Pacific Importers,Gifts
20734,SILVER MINI TAPE MEASURE,1.63,149,Euro Parts,1.2212160264303191,7.0,Lighting,EuroParts GmbH,Lighting
20735,BLACK MINI TAPE MEASURE,0.85,152,Pacific Importers,0.4743924941044795,39.0,Unknown,Pacific Importers,Other
20738,UNKNOWN,0.0,-36,Pacific Importers,0.0,23.0,home decor,Pacific Importers,Home Decor
20748,KENSINGTON COFFEE SET,12.75,109,acme-supplies,6.888142344498808,37.0,Home Decor,Acme Supplies Ltd,Home Decor
20749,ASSORTED COLOUR MINI CASES,7.95,1762,Acme Supplies Ltd,3.5003942413846474,42.0,Stationery,Acme Supplies Ltd,Stationery
20750,RED RETROSPOT MINI CASES,7.95,1742,,5.637708795968468,4.0,Lighting,UNKNOWN,Lighting
20751,FUNKY WASHING UP GLOVES ASSORTED,2.1,967,,1.144896856808194,43.0,LIGHTING,UNKNOWN,Lighting
20752,BLUE POLKADOT WASHING UP GLOVES,2.1,362,PACIFIC IMPORTERS LLC,1.1246466923972585,41.0,Kitchen,Pacific Importers,Kitchen
20754,RETROSPOT RED WASHING UP GLOVES,2.1,1514,GlobalTrade Co,1.3248723506038986,44.0,Lighting,GlobalTrade Co,Lighting
