Date,GrossRevenue,NetRevenue,TotalCost,Orders,UnitsSold,ReturnUnits,ReturnRows,UniqueCustomers,RefundAmount,Profit,ProfitMarginPct,Sessions,ConversionRate,RefundRatePct,Profit_7d_avg,Profit_7d_std,ConversionRate_7d_avg,ConversionRate_7d_std,RefundRatePct_7d_avg,RefundRatePct_7d_std,GrossRevenue_7d_avg,GrossRevenue_7d_std
2010-12-19,8208.84,8173.64,5688.066776477856,25,4088,4,4,17,17.6,2485.573223522144,30.2792260967706,760.0,3.289473684210526,0.2144030094386052,9113.199066139505,5226.228805213463,3.499689499328599,1.1439436554625013,2.8417602909257704,2.0968056890068505,37199.79142857143,18137.396360923696
2010-12-20,30624.63,26124.07,22063.697185976624,96,16377,890,89,59,2047.38,4060.372814023376,13.258520393628839,1848.0,5.194805194805195,6.685403219565428,8781.00773610257,5495.455936566531,3.8447628767102673,1.2498371287867425,3.7270152913626204,2.2409128725664407,38997.5,16468.80587485526
2010-12-21,50285.83,49839.93,23367.370107178285,66,16325,231,23,31,206.15,26472.559892821715,52.644174099983466,2460.0,2.682926829268293,0.40995644299795786,11460.173906126278,8590.853388379413,3.8904853954182754,1.191062367314984,2.9694901201014754,2.3513625645568945,39610.864285714284,16848.32008625575
2010-12-22,7791.900000000001,7656.0,4581.351721118008,22,3338,22,6,17,65.4,3074.648278881992,39.459544897675684,117.0,18.803418803418804,0.8393331536595695,9938.50119120354,9053.448786976189,5.790618973045166,5.817148043946926,2.402870579934358,2.3127200409391615,33555.555714285714,19779.146142116348
2010-12-23,13456.05,12894.75,8705.702931899983,38,6209,107,20,23,279.8,4189.047068100017,31.13132805020803,1432.0,2.653631284916201,2.0793620713359418,9569.490373417162,9254.428645207823,5.533345520240987,5.924912658894718,2.258336870955243,2.2940798700748455,30851.984285714287,21208.22682226238
2011-01-04,18437.39,16286.19,14653.965802067372,57,9304,739,24,38,1075.6,1632.2241979326282,8.852794229186605,1811.0,3.147432357813363,5.83379751689366,8594.140813810263,9738.035783343064,5.62972168439943,5.87208309761315,2.827674079945363,2.64334704713535,25613.99571428572,18586.164173585228
2011-01-05,71061.94,2618.04,39755.96126346235,76,21429,1386,80,56,34200.7,-37137.92126346235,-52.26133885939836,1584.0,4.797979797979798,48.12801339226032,682.3577445456467,18837.43070439645,5.795666850344597,5.822566918219949,9.170038400878783,17.37646162940398,28552.368571428575,24009.61304730771
2011-01-06,48494.68,39156.68,31825.79572804656,78,24531,932,69,66,2990.11,7330.8842719534405,15.116883484855329,519.0,15.028901734104046,6.1658515944429375,1374.545037178689,19003.027080981403,7.4727280003293854,6.616867292887086,10.02024534159369,17.00691174570975,34307.48857142857,23132.790215642275
2011-01-07,33486.22,29539.22,24927.685365739755,58,18358,784,32,49,1603.45,4611.534634260246,13.77143981691647,3028.0,1.915455746367239,4.788387581518607,1453.2824400696704,19017.146925855803,7.004249507695392,6.914424952474106,9.749243107587,17.083848858522824,34716.287142857145,23082.0894485701
2011-01-09,16592.0,16443.8,11111.604238680206,51,8578,23,21,48,67.4,5332.195761319794,32.13714899541824,2353.0,2.1674458138546537,0.4062198649951785,-1566.7695787163182,15785.795239815514,6.930609362636301,6.970635010830458,9.748709310729462,17.084189361506038,29902.882857142857,22805.679898521434
2011-01-10,26522.54,25767.68,24400.17730733874,61,13696,4077,20,35,377.43,1367.502692661259,5.156001999285359,2353.0,2.592435189120272,1.4230537497539828,-1810.6475196049944,15715.167021085454,4.614754560593653,4.687792330776316,9.832097967314377,17.034807689816965,32578.68857142857,20788.641991809254
2011-01-11,82852.55,81170.53,71868.76371558427,84,34299,366,50,61,838.46,9301.766284415731,11.226891971841217,639.0,13.145539906103288,1.0119905784432706,-1080.259060131321,16153.193602182813,6.113598649334667,5.553601541810389,9.679616325472566,17.1203322791694,42492.474285714285,26034.623170776424
2011-01-12,27681.170000000002,26211.170000000002,17888.92842690363,62,11421,490,25,49,735.0,8322.241573096373,30.064630841457827,2554.0,2.427564604541895,2.655234587266362,-124.54229225078598,16533.85250653596,6.010760398867313,5.623901597664682,9.22553590695438,17.28073569713431,43813.014285714286,24817.099264002
2011-01-13,22398.25,22216.05,15382.283151472126,51,10867,61,11,47,91.1,6833.766848527874,30.510271331590072,2105.0,2.4228028503562946,0.40672820421238265,6157.127438033532,2659.006496069487,5.67144940634967,5.778787272110201,2.4082094515189603,2.264950043916382,36861.05857142857,22631.50773564843
2011-01-14,49585.31,49177.53,32325.357674327402,56,23826,59,18,46,199.64000000000001,16852.172325672596,33.98621955912466,1509.0,3.7110669317428764,0.4026192434815877,7517.311445707696,4873.011895073232,4.054615863155218,4.048629901040098,1.5848905442387673,1.6298022198681397,37016.862857142856,22728.492970932413
2011-01-16,7740.9,7490.0,4868.527806590719,29,4410,23,4,22,125.45,2621.4721934092813,33.86521197030425,1277.0,2.2709475332811273,1.6206125902672817,7233.0168113004165,5122.457232772213,4.105400404142915,4.0194493335964125,1.1323512597742922,0.8409193207584519,33338.96,25329.27862053584
2011-01-17,31677.87,31456.09,19808.710553775505,55,14172,89,8,48,77.02000000000001,11647.379446224495,36.768190052628206,1782.0,3.0864197530864197,0.2431350340158603,8135.185909143945,5285.412658918252,4.236682395461739,3.960173534004699,1.1090534267772467,0.8662669906617358,35494.084285714285,24287.24205064178
2011-01-18,173978.75,19326.649999999994,110041.96826288628,51,83218,74322,22,34,77297.25,-90715.31826288629,-52.14160824979274,2225.0,2.292134831460674,44.42913286823822,-5019.502798791419,38039.26330292918,4.193782344367511,3.9825176285234685,7.2527790151321385,16.41551932811993,56559.25714285714,57053.40223155925
2011-01-19,28267.71,27570.19,20407.609220623614,43,18310,279,9,35,348.76,7162.580779376385,25.338383545665305,2225.0,1.9325842696629212,1.2337752156081974,-5325.100728082753,37913.41890252179,2.5919315391617443,0.6028061107557293,7.284462534727128,16.40167465220422,48761.42285714286,56589.12600316033
2011-01-20,27640.08,17481.52,16192.410566928487,54,10927,1779,26,37,3251.08,1289.1094330715132,4.66391353813561,2225.0,2.4269662921348316,11.762194610145846,-6329.833890943449,37583.230747101115,2.5918460659607345,0.6028333428316291,8.585456823709912,16.334328975863848,48755.55285714286,56591.67917809552
2011-01-21,35713.89,34346.97,23525.117384501293,64,16330,371,64,51,661.86,10821.852615498708,30.301523064271933,1681.0,3.8072575847709698,1.8532285337721544,-5760.107352804757,37845.350325652784,2.78962531373426,0.7478058316103877,8.792099727932735,16.222382713593905,50657.787142857145,55775.976014784566
2011-01-23,11497.0,11268.4,8016.1816734921085,30,5604,47,19,27,114.3,3252.218326507891,28.287538718864845,1212.0,2.4752475247524752,0.9941723927981212,-7702.957924114001,36826.41124501903,2.6130796841642026,0.6307246618385005,8.87660732069224,16.172860510900545,45216.6,57721.93173911744
2011-01-24,26811.76,26449.52,16269.222059984808,61,12290,120,14,46,178.17000000000002,10180.297940015193,37.969525089047465,2701.0,2.258422806368012,0.6645218366865884,-6623.125674598871,37287.53614449969,2.611290437462329,0.6318737053111282,8.74002292732357,16.24821428149032,47941.008571428574,56085.17577854104
2011-01-25,32230.420000000002,29964.760000000002,21072.36307870417,86,16324,885,56,71,1105.95,8892.396921295833,27.590074598146195,2864.0,3.0027932960893855,3.431385628856217,-7016.6946067315375,37076.49281977178,2.5993438007484673,0.6221084904885985,9.195487298015049,16.013323596138154,48019.944285714286,56058.85442074452
2011-01-26,21551.13,20693.19,13541.234050283827,71,11416,122,32,57,428.96999999999997,7151.955949716172,33.18599047806853,3129.0,2.269095557686162,1.9904756734333648,6964.344566497385,3535.5994541259615,2.5960524759235364,0.6240625723340522,3.1328219844714984,3.910887217792391,26244.57,7867.442082608596
2011-01-27,28963.23,20205.31,16292.883653279136,88,11874,611,85,63,2638.7,3912.4263467208657,13.508252866551368,2270.0,3.8766519823788546,9.110517024516946,6500.036790403739,3714.1310389648993,2.8737764348829558,0.7067007167917027,4.258070814315606,4.378610849720614,26343.93,7901.569247181264
2011-01-28,22558.42,19464.96,15238.76526896476,100,18427,746,103,44,1522.8799999999999,4226.194731035239,18.734444748502952,2965.0,3.372681281618887,6.750827407238627,6919.620404398557,3150.472376518691,3.0088785762378207,0.6973824920045374,3.5421612139002883,3.1975947584706614,25617.978571428568,7995.51772567074
2011-01-30,7324.66,7006.04,4619.432071029357,25,3635,64,8,22,159.31,2386.607928970643,32.58319060503345,778.0,3.2133676092544987,2.174981500847821,5714.585449180262,3019.6268627430286,2.9240371511640393,0.6153690345942321,3.5881259234825262,3.171476284121819,21562.374285714286,9139.223308859251
2011-01-31,26648.58,24097.16,16132.558992528688,85,13897,847,36,64,1275.71,7964.601007471312,29.887524991843133,778.0,10.925449871465295,4.787159390856848,6387.782975032179,2902.1782665565124,4.131208914980156,3.052114622486196,4.129981208919488,2.9721879485356864,23726.885714285716,8092.3253469030415
2011-02-01,31996.12,30773.58,22677.20587711051,86,16716,721,48,65,601.77,8096.3741228894905,25.304237272798986,3013.0,2.8542980418187853,1.8807592920641627,6090.079572585651,2531.5197966622204,4.216333948615981,2.9990240546631983,4.30372941683057,2.764105602810306,24467.50857142857,8640.394550390341
2011-02-02,22809.79,22474.29,14812.95836792681,74,10274,377,12,59,167.75,7661.33163207319,33.587909542670886,3074.0,2.4072869225764477,0.7354298307875696,5914.213102696703,2339.9039257449494,4.131261609542704,3.0472441317156,3.9185928742493346,3.0761216343864226,23121.704285714288,7934.580651643127
2011-02-03,24604.49,24333.99,15886.524699771808,53,17375,64,9,48,135.25,8447.465300228194,34.33302336373643,2651.0,1.999245567710298,0.5496964171986495,6099.285867055562,2499.8832684246813,4.092711610974724,3.0762966932896108,3.7127672662158036,3.268802634733163,23557.898571428574,7917.759704275476
2011-02-04,26781.81,26445.77,17289.711715623755,75,14550,2714,25,42,168.02,9156.058284376246,34.1876007796943,1894.0,3.9598732840549102,0.6273661115510863,6848.376143863474,2520.9141028753484,4.104600368357017,3.07548323929191,2.5008885643635375,2.3879514199754026,23246.26714285714,7709.752594642149
2011-02-06,3665.76,3665.76,2509.568872561761,11,2129,0,0,11,0.0,1156.1911274382392,31.540284345899327,579.0,1.8998272884283247,0.0,6409.804200492474,3222.5446709420885,3.89419265504408,3.1824257486674212,1.536484649043734,1.627667603503654,20547.315714285716,10712.721915294433
2011-02-07,27249.39,26362.95,18354.75425487752,53,9435,470,35,39,429.02,8008.195745122481,29.38853216575667,1897.0,2.79388508170796,1.5744205650108132,7212.88817422845,2713.021229366505,3.8342665796802886,3.201276254508902,1.450690229638447,1.6040598020918084,23393.705714285716,9146.402647804369
2011-02-08,22334.05,21890.49,12789.593450953269,58,10691,53,25,42,221.78,9100.896549046733,40.748975439057105,2655.0,2.1845574387947266,0.9930129107797288,7375.216108739224,2798.1528454030845,2.5855676607273503,0.708394285993109,0.9086693039131443,0.6401799706707966,22777.344285714287,9035.203761926427
2011-02-09,18020.62,18020.62,10614.405471283198,31,7552,17,2,22,0.0,7406.2145287168005,41.09855559196521,1508.0,2.0557029177718835,0.0,7276.621881000268,2780.611513854705,2.4714826430063646,0.7220765974826875,0.6399894050468353,0.5529287343343116,20780.844285714287,8160.350856705219
2011-02-10,17588.06,14414.82,12816.485282102924,66,12226,676,66,58,1468.92,1598.3347178970762,9.087612379631842,1508.0,4.376657824933687,8.351802302243682,6410.479464689395,3493.6687274423102,2.7528213433431126,1.0165201103891282,1.7280426152548514,2.9723815333924155,20034.882857142857,8182.603479744383
2011-02-11,28680.170000000002,21418.45,17616.73516895933,95,11114,736,95,70,2485.82,3801.71483104067,13.25555194073351,278.0,34.172661870503596,8.66738237604589,5746.800826234035,3483.4700930788154,7.349023672313584,11.867061207179685,2.887712037947314,3.8807734676659558,20617.12285714286,8691.151195896022
2011-02-13,6008.71,5652.25,3626.1448334903093,24,2791,41,15,21,178.23,2026.1051665096907,33.719470011195256,610.0,3.934426229508197,2.966194074934553,4728.236095110241,3360.6944801190393,7.34538837880691,11.868276293017175,3.2218303184306665,3.7522874532237407,17649.537142857145,9720.880091273888
2011-02-14,29597.48,28187.0,20798.0951700899,55,14404,135,23,46,481.48,7388.904829910101,24.964641685407344,386.0,14.248704663212436,1.6267601160639351,5618.623766891937,3069.628798271334,9.109513718061784,11.841681789689941,3.4542246207255145,3.565201615553396,21354.068571428572,8347.80911470281
2011-02-15,46139.25,35453.75,26427.545633052963,70,23037,190,23,48,3033.16,9026.204366947037,19.562962915407244,2800.0,2.5,6.573925670660012,5764.053570009731,3222.039423210693,9.067530134960647,11.868296239827425,4.168439635818257,3.626111900641897,24052.62,12561.121546963906
2011-02-16,26537.75,26101.170000000002,16497.733075778197,69,16665,166,7,56,218.29,9603.436924221805,36.18783402595098,3589.0,1.9225410977988295,0.822564083239913,5835.845052177598,3313.0925538891042,9.03009922910409,11.894007465343034,4.1440898033125695,3.6514728312173768,24653.148571428574,12565.75102823737
2011-02-17,27523.83,27502.23,14726.097538888413,73,14857,4,4,51,10.8,12776.132461111587,46.418439806929435,3144.0,2.321882951653944,0.0392387251338204,6602.976185376852,4231.658292381943,9.068124948230098,11.868391645768831,4.149695335474544,3.6440733880481004,26010.75,12238.854784138677
2011-02-18,17999.91,17250.41,16995.03774889221,67,9684,1825,36,49,280.35,255.37225110779036,1.4187418220857235,1226.0,5.464926590538336,1.5575077875389378,6411.124404406954,4517.181665009904,9.223591914745048,11.803645668014976,3.1790818333738664,3.2182480864378133,26069.58571428571,12192.518318925317
2011-02-20,10096.11,10004.51,6327.445432396384,29,5572,7,5,26,45.8,3677.0645676036165,36.42060722004432,1092.0,2.6556776556776556,0.4536400653320932,6393.317223915947,4529.411778736029,4.721165598341343,4.372924522004826,2.0056900747004662,2.2290273261446716,23414.72,13484.210581885553
2011-02-21,50988.7,25181.58,31943.1209643736,59,22197,135,51,41,12580.92,-6761.540964373598,-13.260861650470787,1516.0,3.891820580474934,24.67393755871399,5137.939205218335,6658.8207336705655,4.715079077050876,4.37423151831467,5.106796286668958,8.901500199599791,29840.432857142852,14487.179958863324
2011-02-22,34476.41,34061.65,24094.386942167483,64,22503,455,26,52,205.73,9967.263057832519,28.910385558799533,2887.0,2.216834083824039,0.5967268633828173,5506.276094921536,6871.986364444136,2.996240422852534,1.2565677624524687,4.959648679143084,8.976810331312825,30537.42285714286,14590.539123695573
2011-02-23,28211.99,27953.93,15824.709465952275,68,14146,146,8,53,98.84,12129.220534047725,42.99314062583931,1991.0,3.415369161225515,0.3503474940973678,5949.564118793064,7227.760691221836,3.1270074458847503,1.2438843389209684,4.070566082491277,9.09766668354792,27976.385714285716,12867.14964919307
2011-02-24,23954.75,23646.73,16266.239829367307,66,12249,172,24,57,154.01,7380.490170632693,30.81013231460438,3290.0,2.0060790273556233,0.6429205063713876,5632.000296851761,7087.947317782599,3.1389414358214354,1.230733784283536,4.044902714367202,9.108602723604537,27607.385714285716,12952.039702098251
2011-02-25,24330.23,19198.43,14483.623230538326,51,10970,685,8,44,2565.8999999999996,4714.806769461675,19.378389638986867,2085.0,2.446043165467626,10.546139514505205,4480.382340901774,6350.236678646695,3.15667860922339,1.2178228580769608,5.545888541420257,9.203712006797987,27151.15714285714,13011.5829879954
2011-02-27,10026.15,9955.25,6320.218691014553,35,5042,12,2,31,35.45,3635.031308985447,36.25550494442481,1560.0,2.2435897435897436,0.35357540032814194,4963.190777741439,6098.97826758022,2.6964876310878765,0.697835637373014,5.373898200390143,9.301395578082516,26012.048571428575,14237.540272882408
2011-02-28,23592.3,23588.4,12870.679330645857,61,10386,117,4,49,1.95,10717.720669354145,45.42889277159982,2395.0,2.546972860125261,0.00826540862908661,5968.998792277229,6423.44872012982,2.6809583745803915,0.7001010127969747,5.31027324943257,9.34209555720382,27940.075714285715,12535.033439830255
2011-03-01,30923.46,27476.36,16201.095747693229,67,12590,28,10,52,883.25,11275.264252306772,36.46184564180972,3279.0,2.043305885940836,2.856245711184971,8545.685251802995,3346.111664368452,2.416884846789806,0.4818572033915869,2.193460128356996,3.8017010195775205,25073.61285714286,7777.184743193263
2011-03-02,19788.28,18981.0,12443.795929017124,67,8828,124,45,58,394.34,6537.204070982876,33.035736663231354,1648.0,4.065533980582525,1.9927957356576722,8055.67682511019,3354.378606389934,2.680984832041019,0.7727548371342865,2.392898538681975,3.740094989345684,22975.308571428573,6728.169616761698
2011-03-03,38191.97,37069.21,36779.182958373334,85,20662,1749,50,62,561.38,290.02704162666487,0.7593927247708481,2496.0,3.4054487179487176,1.46989013659154,6364.363469050039,3898.6943785157073,2.679567625858619,0.771191043084851,2.5528332018954285,3.661300753400072,24401.019999999997,8770.26205857048
2011-03-04,20832.3,20768.440000000002,14250.179617703174,56,14206,468,7,38,31.93,6518.2603822968285,31.28920177943304,2627.0,2.1317091739626948,0.15327160227147268,6241.187785002058,3874.787568041047,2.6975147896596288,0.7541795802710133,2.4828833584525833,3.7082479632743417,23954.955714285716,8875.516619260134
2011-03-06,11130.72,10244.34,7248.898442940042,35,5291,63,24,28,409.14,2995.4415570599585,26.911480632519357,825.0,4.242424242424243,3.6757729958169825,5995.564183230384,4038.6999781291006,2.9541406577962883,0.9376593572895581,1.5014024272114088,1.4242173208965474,22069.311428571433,10100.159914681975
2011-03-07,36446.41,31046.19,18796.838689571086,107,14578,363,70,74,1830.97,12249.351310428912,33.609212293965065,3072.0,3.4830729166666665,5.023732104204502,7226.181326293737,4487.0813303741415,3.1312096825215634,0.8972776491560314,2.1685676706223176,1.8322983335383392,25843.634285714284,9781.138454027874
2011-03-08,26487.19,26358.89,18104.977853347285,61,15186,7653,16,43,64.14999999999999,8253.912146652714,31.161901835010486,1975.0,3.088607594936709,0.24219254666123508,6874.208680193532,4258.356170364934,3.208586073208913,0.8611248080681156,2.201985833198339,1.7879271488904662,26257.19,9731.156802857555
2011-03-09,23165.01,22901.57,20887.356092881128,79,15654,10824,32,51,131.72,2014.2139071188722,8.69507031129653,1975.0,4.0,0.5686162017629175,5551.201488023833,4098.768239236951,3.488113803788793,0.7269483514390236,1.8751816175666167,1.8561759226928225,25148.84,9551.273036553866
2011-03-10,28568.54,27471.58,21924.830383133805,90,17327,784,48,69,522.33,5546.749616866196,19.415586574834403,3364.0,2.67538644470868,1.8283398451583457,5409.707994578593,4076.090494959784,3.289521298663959,0.7327758015411917,1.851687918923856,1.8554798000177697,26403.16285714286,9303.282247676067
2011-03-11,36597.42,22888.94,14620.183983284598,66,11219,407,17,47,3479.9,8268.7560167154,22.593822233139388,1714.0,3.8506417736289387,9.508593775189619,6549.526419591269,3477.4464428534793,3.353120306618276,0.7632021833629127,3.000074153009296,3.4133984257215064,26175.37,8980.442094002621
2011-03-13,4305.18,4284.18,2840.3228899416886,17,2878,8,3,16,10.5,1443.8571100583117,33.53767113241053,768.0,2.213541666666667,0.24389224143938232,5824.611666414339,3977.942816647184,3.364810662718843,0.7416988502550709,3.0130199586047115,3.400951182779816,23814.352857142854,12210.828808831588
2011-03-14,26954.74,26611.82,17164.269765974375,61,17017,56,24,49,154.96,9447.550234025624,35.04968044219912,1908.0,3.19706498951782,0.574889611252047,6746.3414774094335,3960.609249445747,3.2154736265893544,0.6327881780781679,2.570036617952578,3.500724020532258,26074.92714285714,10861.569541546838
2011-03-15,32617.0,21782.56,13156.00540495689,65,9447,163,14,45,2833.46,8626.554595043111,26.448031992651412,2928.0,2.219945355191257,8.68706502743968,6228.799089497175,3303.929151863038,3.0350268320928673,0.7181068989001017,3.0933698927004607,4.143482492935945,25527.868571428575,10335.846252108007
2011-03-16,23582.04,22050.6,15427.384422852667,59,13261,364,11,49,765.72,6623.215577147332,28.08584658980873,2313.0,2.5507998270644183,3.247047329238692,5995.842436710693,3192.968496036996,2.9581971509682545,0.7398592663954694,3.522634861640097,3.9500044011921154,25112.847142857147,10349.223466893125
2011-03-17,44398.6,40824.0,30945.378881145178,88,22465,686,62,74,1100.69,9878.621118854822,22.249848235878662,1584.0,5.555555555555555,2.4791097016572596,7119.3291812443995,2931.362998986456,3.180419373190477,1.197190384310379,3.7955625044821457,3.7739568237603955,28146.217142857146,12559.030064987417
2011-03-18,42061.84,19221.08,25853.674726066292,76,14582,297,41,51,11401.33,-6632.594726066291,-15.768674708634457,1961.0,3.8755736868944415,27.10611328463044,5379.422846539759,6013.995073746838,3.3518746935027286,1.1987487692505387,7.406672995835302,9.431220144311792,30073.83142857143,13624.926557017283
2011-03-20,23720.84,23361.24,14809.398505701694,64,14652,31,10,57,172.85,8551.841494298307,36.05201794834545,2882.0,2.220680083275503,0.7286841444063532,5419.863629051602,6037.568028497969,3.119023023452237,1.2432005077588029,6.1524001914376925,9.685492094923925,28234.320000000003,13465.687371216294
2011-03-21,17650.72,16960.22,10876.031167367502,69,10542,110,28,58,345.25,6084.188832632499,34.46991869245276,1716.0,4.020979020979021,1.9560108596136587,6082.768160847915,5777.398050471454,3.377228359782574,1.211075498539248,6.39698856546259,9.531815109106095,30140.825714285715,10015.936616430961
2011-03-22,33467.42,33060.96,21568.17977665315,83,17235,1800,30,42,203.23000000000002,11492.78022334685,34.34020376636995,1836.0,4.520697167755991,0.6072472870630602,6374.94387360809,6022.44240304637,3.5663186709594554,1.2796483392797628,6.401611090578449,9.52852833958034,31071.20857142857,9973.044665188667
2011-03-23,25215.73,25090.53,16776.047014447384,88,14921,3332,17,58,62.6,8314.482985552615,32.97339789707701,3843.0,2.2898776997137653,0.24825773435867218,6330.362215109448,6004.123908393097,3.5763090058912423,1.2676014774267168,5.1960671915668755,9.723032955230522,30013.884285714284,10172.195231829875
2011-03-24,38066.52,37796.44,25006.866780096367,95,19292,412,28,69,135.04,12789.573219903636,33.5979575225254,2648.0,3.5876132930513593,0.35474742634735196,7211.27044978892,6487.175450216377,3.724425215317948,1.1857326050471884,4.7828814911538275,9.879852063460325,32083.09571428571,10118.845491500617
2011-03-25,33771.34,32294.98,22419.693068736928,67,14851,876,44,51,738.1800000000001,9875.286931263072,29.241620057904345,1631.0,4.1079092581238505,2.1858179154276973,7210.794137275812,6486.947080677019,3.5176186013991324,0.90649597565351,4.7409826645496045,9.891864897916157,30564.915714285715,8654.388422983015
2011-03-27,10176.67,9653.93,6572.528147511435,46,4883,122,22,43,261.37,3081.401852488565,30.27907805292463,1645.0,2.7963525835866263,2.568325395242255,8598.50793421222,3276.5610251585213,3.363444158069445,0.9270126064985201,1.2355843946370064,0.9661435101653892,26009.89142857143,9896.583631281474
2011-03-28,31012.09,16993.47,111642.30644842084,85,13965,406,33,53,3969.69,-94648.83644842084,-305.1997993312313,656.0,12.957317073170731,12.800459433724074,-6144.4460576048,39164.06560948678,4.897249442340192,3.6383304656971305,2.9601237216823955,4.439814847223178,27051.49857142857,9998.681758534389
2011-03-29,74072.35,73693.05,37313.24185117969,95,33757,515,40,51,180.45000000000002,36379.80814882031,49.11388412656046,2278.0,4.170324846356453,0.243613170096534,-1816.5004410065417,42289.870934810184,4.9185845602512535,3.632769252967105,2.7154954803228053,4.550165223512051,35111.73142857143,19440.74834289174
2011-03-30,33841.07,33049.01,23877.05933485306,118,21754,1452,50,75,396.03000000000003,9171.950665146942,27.103016143245302,3715.0,3.1763122476446837,1.170264415398213,-2148.047520749386,42177.084504393715,4.726529571663924,3.692358714866395,2.795926498656399,4.511499490675738,35165.11,19435.99346692712
