InvoiceNo,StockCode,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,RefundAmount,ReturnReason,ReturnReasonClean,Date
C536548,22077,-6,2010-12-01 14:33:00,1.65,12472.0,Germany,9.9,Wrong Item,Wrong Item,2010-12-01
C536548,22631,-1,2010-12-01 14:33:00,1.95,12472.0,Germany,1.95,WRONG ITEM,Wrong Item,2010-12-01
C536548,22168,-2,2010-12-01 14:33:00,8.5,12472.0,Germany,17.0,Changed Mind,Changed Mind,2010-12-01
C536548,21218,-3,2010-12-01 14:33:00,3.75,12472.0,Germany,11.25,Damaged,Damaged,2010-12-01
C536548,20957,-1,2010-12-01 14:33:00,1.45,12472.0,Germany,1.45,,Unspecified,2010-12-01
C536548,22580,-4,2010-12-01 14:33:00,5.95,12472.0,Germany,23.8,Wrong Item,Wrong Item,2010-12-01
536589,21777,-10,2010-12-01 16:50:00,0.0,,United Kingdom,0.0,Wrong Item,Wrong Item,2010-12-01
C536606,20914,-2,2010-12-02 09:10:00,2.95,14092.0,United Kingdom,5.9,Wrong Item,Wrong Item,2010-12-02
C536622,22752,-2,2010-12-02 10:37:00,8.5,12471.0,Germany,17.0,Late Delivery,Late Delivery,2010-12-02
C536625,22839,-2,2010-12-02 10:46:00,14.95,14766.0,United Kingdom,29.9,Damaged,Damaged,2010-12-02
C536642,21463,-1,2010-12-02 11:56:00,5.95,14390.0,United Kingdom,5.95,Changed Mind,Changed Mind,2010-12-02
C536734,22780,-4,2010-12-02 12:50:00,4.25,16042.0,United Kingdom,17.0,Damaged,Damaged,2010-12-02
C536734,85048,-1,2010-12-02 12:50:00,7.95,16042.0,United Kingdom,7.95,,Unspecified,2010-12-02
C536737,22798,-2,2010-12-02 13:05:00,2.95,15922.0,United Kingdom,5.9,Wrong Item,Wrong Item,2010-12-02
C536757,84347,-9360,2010-12-02 14:23:00,0.03,15838.0,United Kingdom,280.8,Wrong Item,Wrong Item,2010-12-02
C536758,21314,-1,2010-12-02 14:25:00,2.1,13767.0,United Kingdom,2.1,Changed Mind,Changed Mind,2010-12-02
C536760,22175,-1,2010-12-02 14:29:00,2.95,17547.0,United Kingdom,2.95,Late Delivery,Late Delivery,2010-12-02
C536760,22273,-3,2010-12-02 14:29:00,2.95,17547.0,United Kingdom,8.850000000000001,,Unspecified,2010-12-02
536764,84952C,-38,2010-12-02 14:42:00,0.0,,United Kingdom,0.0,Wrong Item,Wrong Item,2010-12-02
C536807,22501,-2,2010-12-02 16:45:00,9.95,15834.0,United Kingdom,19.9,,Unspecified,2010-12-02
C536807,22778,-1,2010-12-02 16:45:00,3.95,15834.0,United Kingdom,3.95,Changed Mind,Changed Mind,2010-12-02
C536812,22578,-36,2010-12-02 16:58:00,0.85,16546.0,United Kingdom,30.6,Damaged,Damaged,2010-12-02
C536812,22574,-192,2010-12-02 16:58:00,0.72,16546.0,United Kingdom,138.24,,Unspecified,2010-12-02
C536812,22593,-144,2010-12-02 16:58:00,0.72,16546.0,United Kingdom,103.68,Changed Mind,Changed Mind,2010-12-02
C536812,22595,-144,2010-12-02 16:58:00,0.72,16546.0,United Kingdom,103.68,Defective,Defective,2010-12-02
C536812,22588,-192,2010-12-02 16:58:00,2.1,16546.0,United Kingdom,403.2000000000001,damaged,Damaged,2010-12-02
C536812,22130,-144,2010-12-02 16:58:00,0.72,16546.0,United Kingdom,103.68,Changed Mind,Changed Mind,2010-12-02
C536814,21527,-2,2010-12-02 17:03:00,7.95,13958.0,United Kingdom,15.9,Damaged,Damaged,2010-12-02
C536814,72799E,-6,2010-12-02 17:03:00,2.95,13958.0,United Kingdom,17.700000000000003,,Unspecified,2010-12-02
C536814,85066,-2,2010-12-02 17:03:00,12.75,13958.0,United Kingdom,25.5,Wrong Item,Wrong Item,2010-12-02
C536814,21586,-12,2010-12-02 17:03:00,2.55,13958.0,United Kingdom,30.6,Changed Mind,Changed Mind,2010-12-02
C536814,21258,-1,2010-12-02 17:03:00,12.75,13958.0,United Kingdom,12.75,Wrong Item,Wrong Item,2010-12-02
C536815,85175,-1,2010-12-02 17:05:00,0.42,14443.0,United Kingdom,0.42,Wrong Item,Wrong Item,2010-12-02
C536815,22178,-1,2010-12-02 17:05:00,1.25,14443.0,United Kingdom,1.25,Defective,Defective,2010-12-02
C536816,21129,-2,2010-12-02 17:06:00,6.95,14443.0,United Kingdom,13.9,Changed Mind,Changed Mind,2010-12-02
C536817,22187,-1,2010-12-02 17:08:00,4.25,14156.0,EIRE,4.25,Defective,Defective,2010-12-02
C536817,71477,-1,2010-12-02 17:08:00,3.25,14156.0,EIRE,3.25,,Unspecified,2010-12-02
C536818,84947,-1,2010-12-02 17:09:00,1.25,16995.0,United Kingdom,1.25,Wrong Item,Wrong Item,2010-12-02
C536820,22877,-1,2010-12-02 17:14:00,1.95,18168.0,United Kingdom,1.95,Changed Mind,Changed Mind,2010-12-02
C536820,22869,-1,2010-12-02 17:14:00,1.95,18168.0,United Kingdom,1.95,Late Delivery,Late Delivery,2010-12-02
C536820,22878,-1,2010-12-02 17:14:00,2.1,18168.0,United Kingdom,2.1,Late Delivery,Late Delivery,2010-12-02
C536820,21843,-1,2010-12-02 17:14:00,10.95,18168.0,United Kingdom,10.95,Changed Mind,Changed Mind,2010-12-02
C536822,22847,-2,2010-12-02 17:19:00,16.95,14625.0,United Kingdom,33.9,Changed Mind,Changed Mind,2010-12-02
C536822,21430,-1,2010-12-02 17:19:00,3.75,14625.0,United Kingdom,3.75,Changed Mind,Changed Mind,2010-12-02
C536825,22617,-1,2010-12-02 17:27:00,4.95,15384.0,United Kingdom,4.95,Changed Mind,Changed Mind,2010-12-02
C536825,22197,-2,2010-12-02 17:27:00,0.85,15384.0,United Kingdom,1.7,Wrong Item,Wrong Item,2010-12-02
C536826,35004B,-2,2010-12-02 17:30:00,4.65,17924.0,United Kingdom,9.3,Defective,Defective,2010-12-02
C536826,35004B,-3,2010-12-02 17:30:00,4.65,17924.0,United Kingdom,13.95,Damaged,Damaged,2010-12-02
C536827,21527,-3,2010-12-02 17:31:00,6.95,13408.0,United Kingdom,20.85,WRONG ITEM,Wrong Item,2010-12-02
C536828,22832,-1,2010-12-02 17:35:00,10.75,14264.0,United Kingdom,10.75,Late Delivery,Late Delivery,2010-12-02
C536828,84946,-3,2010-12-02 17:35:00,1.25,14264.0,United Kingdom,3.75,Wrong Item,Wrong Item,2010-12-02
C536829,71477,-1,2010-12-02 17:36:00,3.25,13295.0,United Kingdom,3.25,Damaged,Damaged,2010-12-02
C536850,22942,-48,2010-12-03 09:47:00,7.65,14213.0,United Kingdom,367.2000000000001,Late Delivery,Late Delivery,2010-12-03
C536850,22689,-50,2010-12-03 09:47:00,6.75,14213.0,United Kingdom,337.5,Late Delivery,Late Delivery,2010-12-03
C536850,22591,-50,2010-12-03 09:47:00,2.55,14213.0,United Kingdom,127.5,WRONG ITEM,Wrong Item,2010-12-03
C536850,22580,-48,2010-12-03 09:47:00,4.95,14213.0,United Kingdom,237.6,Wrong Item,Wrong Item,2010-12-03
C536850,22186,-48,2010-12-03 09:47:00,2.55,14213.0,United Kingdom,122.4,Damaged,Damaged,2010-12-03
C536853,84678,-1,2010-12-03 10:07:00,2.55,14679.0,United Kingdom,2.55,damaged,Damaged,2010-12-03
C536854,22158,-1,2010-12-03 10:09:00,2.95,15240.0,United Kingdom,2.95,Wrong Item,Wrong Item,2010-12-03
C536854,22944,-1,2010-12-03 10:09:00,1.25,15240.0,United Kingdom,1.25,Late Delivery,Late Delivery,2010-12-03
C536854,21871,-1,2010-12-03 10:09:00,1.25,15240.0,United Kingdom,1.25,Damaged,Damaged,2010-12-03
C536855,21527,-4,2010-12-03 10:11:00,7.95,18225.0,United Kingdom,31.8,Late Delivery,Late Delivery,2010-12-03
C536978,22776,-1,2010-12-03 14:19:00,9.95,17954.0,United Kingdom,9.95,Damaged,Damaged,2010-12-03
C536979,84685,-1,2010-12-03 14:23:00,3.75,17841.0,United Kingdom,3.75,Defective,Defective,2010-12-03
C536979,22630,-1,2010-12-03 14:23:00,1.95,17841.0,United Kingdom,1.95,Changed Mind,Changed Mind,2010-12-03
536996,22712,-20,2010-12-03 15:30:00,0.0,,United Kingdom,0.0,WRONG ITEM,Wrong Item,2010-12-03
536997,22028,-20,2010-12-03 15:30:00,0.0,,United Kingdom,0.0,Damaged,Damaged,2010-12-03
536998,85067,-6,2010-12-03 15:30:00,0.0,,United Kingdom,0.0,Wrong Item,Wrong Item,2010-12-03
537000,21414,-22,2010-12-03 15:32:00,0.0,,United Kingdom,0.0,Damaged,Damaged,2010-12-03
537001,21653,-6,2010-12-03 15:33:00,0.0,,United Kingdom,0.0,,Unspecified,2010-12-03
537003,85126,-2,2010-12-03 15:33:00,0.0,,United Kingdom,0.0,Changed Mind,Changed Mind,2010-12-03
537004,21814,-30,2010-12-03 15:34:00,0.0,,United Kingdom,0.0,Changed Mind,Changed Mind,2010-12-03
537005,21692,-70,2010-12-03 15:35:00,0.0,,United Kingdom,0.0,Damaged,Damaged,2010-12-03
537006,21648,-130,2010-12-03 15:36:00,0.0,,United Kingdom,0.0,Changed Mind,Changed Mind,2010-12-03
537007,21172,-80,2010-12-03 15:36:00,0.0,,United Kingdom,0.0,Changed Mind,Changed Mind,2010-12-03
537008,21161,-120,2010-12-03 15:37:00,0.0,,United Kingdom,0.0,Wrong Item,Wrong Item,2010-12-03
537009,84534B,-80,2010-12-03 15:38:00,0.0,,United Kingdom,0.0,Late Delivery,Late Delivery,2010-12-03
537010,22162,-40,2010-12-03 15:38:00,0.0,,United Kingdom,0.0,Damaged,Damaged,2010-12-03
537011,22139,-5,2010-12-03 15:38:00,0.0,,United Kingdom,0.0,Defective,Defective,2010-12-03
537012,21535,-12,2010-12-03 15:39:00,0.0,,United Kingdom,0.0,,Unspecified,2010-12-03
537013,35965,-25,2010-12-03 15:40:00,0.0,,United Kingdom,0.0,damaged,Damaged,2010-12-03
537014,21040,-20,2010-12-03 15:40:00,0.0,,United Kingdom,0.0,Late Delivery,Late Delivery,2010-12-03
537015,37464,-14,2010-12-03 15:41:00,0.0,,United Kingdom,0.0,Wrong Item,Wrong Item,2010-12-03
537016,21836,-15,2010-12-03 15:41:00,0.0,,United Kingdom,0.0,Defective,Defective,2010-12-03
537017,47556B,-69,2010-12-03 15:41:00,0.0,,United Kingdom,0.0,Damaged,Damaged,2010-12-03
537018,84562A,-3,2010-12-03 15:42:00,0.0,,United Kingdom,0.0,Damaged,Damaged,2010-12-03
537019,37474,-15,2010-12-03 15:43:00,0.0,,United Kingdom,0.0,Defective,Defective,2010-12-03
537020,21807,-30,2010-12-03 15:43:00,0.0,,United Kingdom,0.0,,Unspecified,2010-12-03
537021,21011,-20,2010-12-03 15:43:00,0.0,,United Kingdom,0.0,Damaged,Damaged,2010-12-03
C537024,20893,-36,2010-12-03 16:21:00,2.1,13941.0,United Kingdom,75.60000000000001,Damaged,Damaged,2010-12-03
537027,18098C,-140,2010-12-03 16:36:00,0.0,,United Kingdom,0.0,Changed Mind,Changed Mind,2010-12-03
537028,21696,-320,2010-12-03 16:36:00,0.0,,United Kingdom,0.0,Wrong Item,Wrong Item,2010-12-03
537029,37476,-6,2010-12-03 16:37:00,0.0,,United Kingdom,0.0,Defective,Defective,2010-12-03
537032,21275,-30,2010-12-03 16:50:00,0.0,,United Kingdom,0.0,Wrong Item,Wrong Item,2010-12-03
C537039,22854,-1,2010-12-05 10:25:00,4.95,15708.0,United Kingdom,4.95,Damaged,Damaged,2010-12-05
C537039,20936,-1,2010-12-05 10:25:00,2.95,15708.0,United Kingdom,2.95,Changed Mind,Changed Mind,2010-12-05
C537039,85175,-1,2010-12-05 10:25:00,0.42,15708.0,United Kingdom,0.42,,Unspecified,2010-12-05
C537043,22575,-6,2010-12-05 10:48:00,1.95,15351.0,United Kingdom,11.7,Defective,Defective,2010-12-05
C537043,11001,-1,2010-12-05 10:48:00,1.69,15351.0,United Kingdom,1.69,,Unspecified,2010-12-05
C537132,22788,-2,2010-12-05 12:29:00,8.5,15221.0,United Kingdom,17.0,Wrong Item,Wrong Item,2010-12-05
C537132,22184,-1,2010-12-05 12:29:00,8.5,15221.0,United Kingdom,8.5,,Unspecified,2010-12-05
C537132,71279,-2,2010-12-05 12:29:00,2.95,15221.0,United Kingdom,5.9,Changed Mind,Changed Mind,2010-12-05
C537132,22761,-2,2010-12-05 12:29:00,21.95,15221.0,United Kingdom,43.9,,Unspecified,2010-12-05
C537132,22769,-8,2010-12-05 12:29:00,21.95,15221.0,United Kingdom,175.6,Changed Mind,Changed Mind,2010-12-05
C537132,22762,-3,2010-12-05 12:29:00,12.75,15221.0,United Kingdom,38.25,Wrong Item,Wrong Item,2010-12-05
C537143,20685,-1,2010-12-05 12:58:00,7.95,12748.0,United Kingdom,7.95,Wrong Item,Wrong Item,2010-12-05
C537157,35953,-24,2010-12-05 13:09:00,1.25,15880.0,United Kingdom,30.0,Changed Mind,Changed Mind,2010-12-05
C537164,D,-1,2010-12-05 13:21:00,29.29,14527.0,United Kingdom,29.29,Damaged,Damaged,2010-12-05
C537203,37449,-1,2010-12-05 14:44:00,9.95,14606.0,United Kingdom,9.95,damaged,Damaged,2010-12-05
C537203,21424,-1,2010-12-05 14:44:00,2.95,14606.0,United Kingdom,2.95,Wrong Item,Wrong Item,2010-12-05
C537232,84840,-2,2010-12-06 09:31:00,8.5,12586.0,Italy,17.0,Wrong Item,Wrong Item,2010-12-06
C537234,22653,-20,2010-12-06 09:40:00,1.95,16161.0,United Kingdom,39.0,Wrong Item,Wrong Item,2010-12-06
C537251,22429,-2,2010-12-06 10:45:00,4.25,,United Kingdom,8.5,Damaged,Damaged,2010-12-06
C537251,22620,-8,2010-12-06 10:45:00,1.25,,United Kingdom,10.0,Defective,Defective,2010-12-06
C537251,21890,-2,2010-12-06 10:45:00,2.95,,United Kingdom,5.9,Changed Mind,Changed Mind,2010-12-06
C537251,22564,-5,2010-12-06 10:45:00,1.25,,United Kingdom,6.25,,Unspecified,2010-12-06
C537251,21891,-3,2010-12-06 10:45:00,1.25,,United Kingdom,3.75,Damaged,Damaged,2010-12-06
C537251,22747,-6,2010-12-06 10:45:00,2.1,,United Kingdom,12.6,damaged,Damaged,2010-12-06
C537251,22454,-8,2010-12-06 10:45:00,2.95,,United Kingdom,23.6,Wrong Item,Wrong Item,2010-12-06
C537251,22327,-4,2010-12-06 10:45:00,2.95,,United Kingdom,11.8,damaged,Damaged,2010-12-06
C537251,21915,-4,2010-12-06 10:45:00,1.25,,United Kingdom,5.0,Damaged,Damaged,2010-12-06
C537251,84347,-9,2010-12-06 10:45:00,2.55,,United Kingdom,22.95,Late Delivery,Late Delivery,2010-12-06
C537251,22748,-4,2010-12-06 10:45:00,2.1,,United Kingdom,8.4,Changed Mind,Changed Mind,2010-12-06
C537251,22943,-6,2010-12-06 10:45:00,4.95,,United Kingdom,29.700000000000003,Changed Mind,Changed Mind,2010-12-06
C537251,22418,-7,2010-12-06 10:45:00,0.85,,United Kingdom,5.95,Damaged,Damaged,2010-12-06
C537251,22911,-2,2010-12-06 10:45:00,2.95,,United Kingdom,5.9,Defective,Defective,2010-12-06
C537251,22940,-5,2010-12-06 10:45:00,4.25,,United Kingdom,21.25,Damaged,Damaged,2010-12-06
C537251,22141,-8,2010-12-06 10:45:00,2.1,,United Kingdom,16.8,Changed Mind,Changed Mind,2010-12-06
C537251,22328,-2,2010-12-06 10:45:00,2.95,,United Kingdom,5.9,Defective,Defective,2010-12-06
C537251,22536,-11,2010-12-06 10:45:00,0.42,,United Kingdom,4.62,Late Delivery,Late Delivery,2010-12-06
C537251,21826,-4,2010-12-06 10:45:00,1.25,,United Kingdom,5.0,WRONG ITEM,Wrong Item,2010-12-06
C537251,22466,-3,2010-12-06 10:45:00,1.95,,United Kingdom,5.85,Wrong Item,Wrong Item,2010-12-06
C537314,21349,-4,2010-12-06 11:42:00,6.75,13497.0,United Kingdom,27.0,Wrong Item,Wrong Item,2010-12-06
C537320,35400,-1,2010-12-06 11:47:00,8.95,14867.0,United Kingdom,8.95,Wrong Item,Wrong Item,2010-12-06
C537333,22636,-4,2010-12-06 12:00:00,8.5,12474.0,Germany,34.0,Late Delivery,Late Delivery,2010-12-06
537363,84569B,-20,2010-12-06 12:35:00,0.0,,United Kingdom,0.0,damaged,Damaged,2010-12-06
537364,21027,-70,2010-12-06 12:36:00,0.0,,United Kingdom,0.0,WRONG ITEM,Wrong Item,2010-12-06
C537373,22423,-1,2010-12-06 12:55:00,12.75,14487.0,United Kingdom,12.75,damaged,Damaged,2010-12-06
C537379,22865,-10,2010-12-06 13:12:00,2.1,15882.0,United Kingdom,21.0,,Unspecified,2010-12-06
C537383,21658,-1,2010-12-06 13:17:00,3.95,16550.0,United Kingdom,3.95,WRONG ITEM,Wrong Item,2010-12-06
C537383,22197,-1,2010-12-06 13:17:00,0.85,16550.0,United Kingdom,0.85,Changed Mind,Changed Mind,2010-12-06
C537383,22371,-1,2010-12-06 13:17:00,4.25,16550.0,United Kingdom,4.25,damaged,Damaged,2010-12-06
C537398,22430,-1,2010-12-06 14:22:00,4.95,15426.0,United Kingdom,4.95,Late Delivery,Late Delivery,2010-12-06
537401,84898F,-24,2010-12-06 14:37:00,0.0,,United Kingdom,0.0,Damaged,Damaged,2010-12-06
C537402,22926,-4,2010-12-06 14:43:00,5.95,15502.0,United Kingdom,23.8,Damaged,Damaged,2010-12-06
C537402,22927,-4,2010-12-06 14:43:00,5.95,15502.0,United Kingdom,23.8,Wrong Item,Wrong Item,2010-12-06
C537402,22849,-4,2010-12-06 14:43:00,14.95,15502.0,United Kingdom,59.8,Late Delivery,Late Delivery,2010-12-06
C537402,22847,-4,2010-12-06 14:43:00,14.95,15502.0,United Kingdom,59.8,Defective,Defective,2010-12-06
C537402,47580,-6,2010-12-06 14:43:00,2.55,15502.0,United Kingdom,15.3,Wrong Item,Wrong Item,2010-12-06
C537402,22196,-12,2010-12-06 14:43:00,0.85,15502.0,United Kingdom,10.2,Late Delivery,Late Delivery,2010-12-06
C537406,22926,-4,2010-12-06 14:53:00,5.95,15502.0,United Kingdom,23.8,Damaged,Damaged,2010-12-06
C537406,22927,-4,2010-12-06 14:53:00,5.95,15502.0,United Kingdom,23.8,,Unspecified,2010-12-06
C537406,22847,-4,2010-12-06 14:53:00,14.95,15502.0,United Kingdom,59.8,Late Delivery,Late Delivery,2010-12-06
C537406,22849,-4,2010-12-06 14:53:00,14.95,15502.0,United Kingdom,59.8,WRONG ITEM,Wrong Item,2010-12-06
C537408,47580,-6,2010-12-06 14:55:00,2.55,15502.0,United Kingdom,15.3,Damaged,Damaged,2010-12-06
C537408,22196,-12,2010-12-06 14:55:00,0.85,15502.0,United Kingdom,10.2,damaged,Damaged,2010-12-06
C537413,22834,-72,2010-12-06 15:07:00,2.1,14409.0,United Kingdom,151.20000000000002,Wrong Item,Wrong Item,2010-12-06
C537414,POST,-1,2010-12-06 15:09:00,4.41,16861.0,United Kingdom,4.41,Changed Mind,Changed Mind,2010-12-06
C537414,22086,-6,2010-12-06 15:09:00,2.95,16861.0,United Kingdom,17.700000000000003,Changed Mind,Changed Mind,2010-12-06
C537416,22840,-1,2010-12-06 15:10:00,7.95,16138.0,United Kingdom,7.95,Defective,Defective,2010-12-06
C537417,22960,-1,2010-12-06 15:12:00,4.25,13481.0,United Kingdom,4.25,WRONG ITEM,Wrong Item,2010-12-06
537425,84968F,-20,2010-12-06 15:35:00,0.0,,United Kingdom,0.0,Changed Mind,Changed Mind,2010-12-06
537426,84968E,-35,2010-12-06 15:36:00,0.0,,United Kingdom,0.0,damaged,Damaged,2010-12-06
537427,84968B,-21,2010-12-06 15:37:00,0.0,,United Kingdom,0.0,Wrong Item,Wrong Item,2010-12-06
537432,35833G,-43,2010-12-06 16:10:00,0.0,,United Kingdom,0.0,Changed Mind,Changed Mind,2010-12-06
C537431,21755,-1,2010-12-06 16:10:00,5.95,16782.0,United Kingdom,5.95,Changed Mind,Changed Mind,2010-12-06
C537444,22580,-8,2010-12-07 08:42:00,5.95,14850.0,United Kingdom,47.6,Wrong Item,Wrong Item,2010-12-07
C537445,22418,-11,2010-12-07 08:57:00,0.85,15021.0,United Kingdom,9.35,WRONG ITEM,Wrong Item,2010-12-07
537449,21054,-30,2010-12-07 09:26:00,0.0,,United Kingdom,0.0,Late Delivery,Late Delivery,2010-12-07
537450,20684,-19,2010-12-07 09:26:00,0.0,,United Kingdom,0.0,Changed Mind,Changed Mind,2010-12-07
537451,84881,-11,2010-12-07 09:27:00,0.0,,United Kingdom,0.0,Late Delivery,Late Delivery,2010-12-07
537452,20941,-24,2010-12-07 09:28:00,0.0,,United Kingdom,0.0,Changed Mind,Changed Mind,2010-12-07
537453,21248,-18,2010-12-07 09:28:00,0.0,,United Kingdom,0.0,Damaged,Damaged,2010-12-07
537454,21349,-44,2010-12-07 09:30:00,0.0,,United Kingdom,0.0,Changed Mind,Changed Mind,2010-12-07
537455,22155,-70,2010-12-07 09:31:00,0.0,,United Kingdom,0.0,Defective,Defective,2010-12-07
537466,21488,-50,2010-12-07 10:33:00,0.0,,United Kingdom,0.0,WRONG ITEM,Wrong Item,2010-12-07
C537530,21527,-1,2010-12-07 11:47:00,7.95,13319.0,United Kingdom,7.95,Damaged,Damaged,2010-12-07
C537530,85047,-2,2010-12-07 11:47:00,6.35,13319.0,United Kingdom,12.7,Changed Mind,Changed Mind,2010-12-07
C537530,22726,-2,2010-12-07 11:47:00,3.75,13319.0,United Kingdom,7.5,Damaged,Damaged,2010-12-07
C537572,BANK CHARGES,-1,2010-12-07 12:00:00,95.38,,United Kingdom,95.38,Damaged,Damaged,2010-12-07
C537581,S,-1,2010-12-07 12:03:00,12.95,,United Kingdom,12.95,Defective,Defective,2010-12-07
C537581,S,-1,2010-12-07 12:03:00,52.0,,United Kingdom,52.0,Wrong Item,Wrong Item,2010-12-07
C537596,22968,-2,2010-12-07 12:31:00,9.95,17954.0,United Kingdom,19.9,Late Delivery,Late Delivery,2010-12-07
C537597,D,-1,2010-12-07 12:34:00,281.0,15498.0,United Kingdom,281.0,Changed Mind,Changed Mind,2010-12-07
C537600,AMAZONFEE,-1,2010-12-07 12:41:00,1.0,,United Kingdom,1.0,Wrong Item,Wrong Item,2010-12-07
C537602,85099B,-1,2010-12-07 12:45:00,1.65,17511.0,United Kingdom,1.65,Changed Mind,Changed Mind,2010-12-07
C537602,21622,-1,2010-12-07 12:45:00,4.95,17511.0,United Kingdom,4.95,Damaged,Damaged,2010-12-07
C537602,22065,-1,2010-12-07 12:45:00,1.25,17511.0,United Kingdom,1.25,,Unspecified,2010-12-07
C537602,22061,-1,2010-12-07 12:45:00,8.5,17511.0,United Kingdom,8.5,Damaged,Damaged,2010-12-07
C537602,22654,-1,2010-12-07 12:45:00,4.95,17511.0,United Kingdom,4.95,Damaged,Damaged,2010-12-07
C537602,85123A,-1,2010-12-07 12:45:00,2.55,17511.0,United Kingdom,2.55,Defective,Defective,2010-12-07
C537602,22665,-1,2010-12-07 12:45:00,2.95,17511.0,United Kingdom,2.95,WRONG ITEM,Wrong Item,2010-12-07
C537602,22197,-1,2010-12-07 12:45:00,0.72,17511.0,United Kingdom,0.72,,Unspecified,2010-12-07
C537602,22659,-4,2010-12-07 12:45:00,1.65,17511.0,United Kingdom,6.6,Wrong Item,Wrong Item,2010-12-07
C537602,22169,-1,2010-12-07 12:45:00,7.65,17511.0,United Kingdom,7.65,Damaged,Damaged,2010-12-07
C537602,21843,-1,2010-12-07 12:45:00,9.95,17511.0,United Kingdom,9.95,Defective,Defective,2010-12-07
C537602,22423,-2,2010-12-07 12:45:00,10.95,17511.0,United Kingdom,21.9,,Unspecified,2010-12-07
C537602,84050,-1,2010-12-07 12:45:00,1.25,17511.0,United Kingdom,1.25,Changed Mind,Changed Mind,2010-12-07
C537602,22198,-1,2010-12-07 12:45:00,1.45,17511.0,United Kingdom,1.45,Changed Mind,Changed Mind,2010-12-07
C537610,M,-1,2010-12-07 13:23:00,631.31,,United Kingdom,631.31,Damaged,Damaged,2010-12-07
C537611,22865,-36,2010-12-07 13:25:00,2.1,17675.0,United Kingdom,75.60000000000001,Damaged,Damaged,2010-12-07
C537613,M,-1,2010-12-07 13:28:00,313.78,,United Kingdom,313.78,Changed Mind,Changed Mind,2010-12-07
C537630,AMAZONFEE,-1,2010-12-07 15:04:00,13541.33,,United Kingdom,13541.33,Damaged,Damaged,2010-12-07
C537644,AMAZONFEE,-1,2010-12-07 15:34:00,13474.79,,United Kingdom,13474.79,Wrong Item,Wrong Item,2010-12-07
C537647,AMAZONFEE,-1,2010-12-07 15:41:00,5519.25,,United Kingdom,5519.25,Wrong Item,Wrong Item,2010-12-07
C537651,AMAZONFEE,-1,2010-12-07 15:49:00,13541.33,,United Kingdom,13541.33,Changed Mind,Changed Mind,2010-12-07
C537652,AMAZONFEE,-1,2010-12-07 15:51:00,6706.71,,United Kingdom,6706.71,Damaged,Damaged,2010-12-07
C537656,21258,-12,2010-12-07 16:21:00,10.95,15100.0,United Kingdom,131.39999999999998,Changed Mind,Changed Mind,2010-12-07
