Date,Sessions,UniqueVisitors,Channel,Device
2011-04-26,2470.0,2216,organic,Desktop
2011-04-27,2779.0,2454,Organic,
2011-04-28,,1115,Social,Desktop
2011-05-01,468.0,353,Paid Search,Desktop
2011-05-03,2780.0,2368,Organic,Mobile
2011-05-04,3867.0,3049,Paid Search,MOBILE
2011-05-05,2479.0,1856,,Desktop
2011-05-06,5021.0,4392,PAID,Desktop
2011-05-08,3317.0,2424,,MOBILE
2011-05-09,2140.0,1558,Direct,
2011-05-10,5280.0,3973,Organic,desktop
2011-05-11,3800.0,3150,Paid Search,Tablet
2011-05-12,3788.0,2836,organic,
2011-05-13,3495.0,2484,Paid Search,Tablet
2011-05-15,1852.0,1308,PAID,Tablet
2011-05-16,1846.0,1442,Email,Mobile
2011-05-17,908.0,693,Organic,Tablet
2011-05-18,3279.0,2310,Organic,MOBILE
2011-05-19,,2411,PAID,MOBILE
2011-05-20,2289.0,1999,Social,Desktop
2011-05-22,3201.0,2921,PAID,desktop
2011-05-23,2107.0,1714,Direct,Desktop
2011-05-24,4128.0,3686,Paid Search,desktop
2011-05-25,2065.0,1704,Paid Search,desktop
2011-05-26,3895.0,3154,PAID,
2011-05-27,,589,Social,
2011-05-29,689.0,507,organic,Tablet
2011-05-31,1438.0,1076,Social,MOBILE
2011-06-01,2363.0,2038,Organic,Tablet
2011-06-02,2746.0,2348,Paid Search,Mobile
2011-06-03,1733.0,1307,Social,desktop
2011-06-05,769.0,637,Social,Mobile
2011-06-06,2384.0,2262,Email,Mobile
2011-06-07,2998.0,2738,organic,Tablet
2011-06-08,16389.0,12425,Social,desktop
2011-06-09,2492.0,2352,PAID,MOBILE
2011-06-10,2234.0,1565,PAID,desktop
2011-06-12,1656.0,1415,Social,Desktop
2011-06-13,3077.0,2879,Social,MOBILE
2011-06-14,3250.0,3038,,desktop
2011-06-15,1828.0,1604,Email,Mobile
2011-06-16,2796.0,2088,Social,Desktop
2011-06-17,2915.0,2344,,Mobile
2011-06-19,10272.0,7299,Social,MOBILE
2011-06-20,4139.0,3038,Paid Search,desktop
2011-06-21,1746.0,1430,Email,MOBILE
2011-06-22,2330.0,1914,PAID,
2011-06-23,4226.0,3652,Social,Mobile
2011-06-24,1793.0,1332,organic,Desktop
2011-06-26,1032.0,838,PAID,
2011-06-27,2118.0,1623,Organic,MOBILE
2011-06-28,3215.0,2329,Social,Tablet
2011-06-29,1918.0,1641,,Tablet
2011-06-30,2256.0,2045,Email,Desktop
2011-07-01,2420.0,2084,PAID,MOBILE
2011-07-03,1060.0,983,Organic,Desktop
2011-07-04,2612.0,2077,organic,Desktop
2011-07-05,2568.0,1843,PAID,Mobile
2011-07-06,2185.0,2071,organic,Mobile
2011-07-07,,2829,organic,desktop
2011-07-08,2074.0,1672,,Tablet
2011-07-10,1406.0,1016,Direct,MOBILE
2011-07-11,503.0,467,Organic,Desktop
2011-07-12,3144.0,2865,Direct,MOBILE
2011-07-13,3242.0,2797,Email,Desktop
2011-07-14,2388.0,2107,Email,desktop
2011-07-15,2665.0,2215,Direct,Tablet
2011-07-17,1740.0,1467,PAID,Mobile
2011-07-18,3933.0,2957,,
2011-07-19,3461.0,2930,,desktop
2011-07-20,2693.0,2091,organic,MOBILE
2011-07-21,2434.0,2083,Social,Desktop
2011-07-22,2002.0,1570,Organic,desktop
2011-07-24,2050.0,1612,organic,MOBILE
2011-07-25,,2346,Organic,MOBILE
2011-07-26,3051.0,2785,Social,Mobile
2011-07-27,2348.0,1952,Paid Search,Desktop
2011-07-28,8391.0,7386,Social,
2011-07-29,2584.0,2288,Social,
2011-07-31,1651.0,1200,Direct,
2011-08-01,1242.0,1121,PAID,Mobile
2011-08-02,1498.0,1147,Organic,MOBILE
2011-08-03,3854.0,3331,Social,
2011-08-04,2378.0,1749,organic,Desktop
2011-08-05,1899.0,1611,Social,Tablet
2011-08-07,,1183,Paid Search,desktop
2011-08-08,2274.0,1653,Organic,desktop
2011-08-09,1355.0,1277,PAID,MOBILE
2011-08-10,1456.0,1342,,desktop
2011-08-11,3524.0,2531,Organic,Desktop
2011-08-12,2431.0,2017,organic,MOBILE
2011-08-14,1440.0,1159,Paid Search,Mobile
2011-08-15,1991.0,1449,Organic,
2011-08-16,2700.0,2032,PAID,Desktop
2011-08-17,1524.0,1446,,
2011-08-18,2445.0,1797,PAID,MOBILE
2011-08-19,2771.0,2508,organic,Mobile
2011-08-21,1062.0,771,Direct,
2011-08-22,1830.0,1302,Direct,Tablet
2011-08-23,3077.0,2606,Direct,
2011-08-24,3759.0,3106,PAID,
2011-08-25,4020.0,3363,Direct,Desktop
2011-08-26,2914.0,2393,Direct,Desktop
2011-08-28,1948.0,1561,,MOBILE
2011-08-30,1730.0,1578,Paid Search,Desktop
2011-08-31,373.0,313,Direct,desktop
2011-09-01,3882.0,3445,Paid Search,Tablet
2011-09-02,3610.0,2931,Social,desktop
2011-09-04,1706.0,1582,Paid Search,
2011-09-05,,2457,,desktop
2011-09-06,1670.0,1265,Direct,Tablet
2011-09-07,2003.0,1738,Organic,desktop
2011-09-08,2821.0,2003,Direct,MOBILE
2011-09-09,1927.0,1473,Organic,Desktop
2011-09-11,2337.0,1754,Email,desktop
2011-09-12,3789.0,3042,Social,
2011-09-13,2860.0,2693,PAID,Tablet
2011-09-14,,2612,Email,
2011-09-15,2979.0,2383,,Desktop
2011-09-16,2332.0,1950,organic,
2011-09-18,1227.0,935,Organic,desktop
2011-09-19,4010.0,3304,,MOBILE
2011-09-20,1792.0,1519,Paid Search,MOBILE
2011-09-21,4022.0,3067,Direct,desktop
2011-09-22,3027.0,2729,,desktop
2011-09-23,4023.0,2893,PAID,Mobile
2011-09-25,4337.0,3425,Paid Search,MOBILE
2011-09-26,,3347,Email,MOBILE
2011-09-27,4661.0,4178,Email,Desktop
2011-09-28,2208.0,1581,organic,Tablet
2011-09-29,4643.0,3400,organic,Mobile
2011-09-30,3126.0,2934,PAID,
2011-10-02,1236.0,1016,Organic,MOBILE
2011-10-03,2691.0,2307,Social,MOBILE
2011-10-04,2733.0,2090,PAID,MOBILE
2011-10-05,5450.0,4920,Social,MOBILE
2011-10-06,7209.0,6435,Paid Search,
2011-10-07,3779.0,3333,organic,Mobile
2011-10-09,1503.0,1089,Paid Search,Mobile
2011-10-10,3993.0,2953,,Desktop
2011-10-11,3326.0,2575,,desktop
2011-10-12,4321.0,3415,Direct,Tablet
2011-10-13,3925.0,3250,Social,MOBILE
2011-10-14,4403.0,3182,Email,MOBILE
2011-10-16,1717.0,1490,Paid Search,Desktop
2011-10-17,5244.0,4157,Paid Search,Desktop
2011-10-18,3319.0,2466,Paid Search,desktop
2011-10-19,,2433,Paid Search,
2011-10-20,4834.0,3727,,Desktop
2011-10-21,1983.0,1523,Organic,Desktop
2011-10-23,1198.0,1116,Direct,Desktop
2011-10-24,4665.0,3625,Social,Mobile
2011-10-25,2994.0,2773,Organic,Desktop
2011-10-26,2431.0,2066,Social,Desktop
2011-10-27,6162.0,5096,,Desktop
2011-10-28,2083.0,1572,Social,Desktop
2011-10-30,5499.0,3872,Organic,MOBILE
2011-10-31,2911.0,2612,,
2011-11-01,4618.0,3783,PAID,MOBILE
2011-11-02,3313.0,2815,Organic,
2011-11-03,3594.0,2745,Organic,Tablet
2011-11-04,5113.0,3776,Social,Desktop
2011-11-06,,2014,Social,desktop
2011-11-07,3965.0,3474,organic,Tablet
2011-11-08,5704.0,4938,,Desktop
2011-11-09,1116.0,966,,Mobile
2011-11-10,4623.0,3678,,Mobile
2011-11-11,4890.0,3503,Paid Search,
2011-11-13,3074.0,2464,,Tablet
2011-11-14,4978.0,4090,Organic,desktop
2011-11-15,5966.0,4882,Social,Tablet
2011-11-16,7760.0,6169,Organic,Mobile
2011-11-17,6074.0,4256,organic,
2011-11-18,4196.0,3846,Email,desktop
2011-11-20,3667.0,2799,Direct,Mobile
2011-11-21,4534.0,3263,,Mobile
2011-11-22,6584.0,5108,Email,Tablet
2011-11-23,5031.0,4517,Organic,MOBILE
2011-11-24,5924.0,4807,Social,desktop
2011-11-25,3978.0,3547,Paid Search,Mobile
2011-11-27,,2211,Direct,MOBILE
2011-11-28,4086.0,3215,organic,Tablet
2011-11-29,4355.0,3061,,
2011-11-30,3544.0,3196,PAID,
2011-12-01,5336.0,4190,,Mobile
2011-12-02,5693.0,5038,Email,Desktop
2011-12-04,2543.0,2076,Email,MOBILE
2011-12-05,3596.0,3053,PAID,Tablet
2011-12-06,4347.0,3514,Organic,Desktop
2011-12-07,4456.0,3823,Paid Search,desktop
2011-12-08,5539.0,4461,Paid Search,Mobile
2011-12-09,1126.0,963,Direct,desktop
